lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0724ASHC_01,7/10/2024,ASHC,1,7/10/0204,130.49,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_02,7/10/2024,ASHC,2,7/10/0204,104.45,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_03,7/10/2024,ASHC,3,7/10/0204,96.9,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_04,7/10/2024,ASHC,4,7/10/0204,134.66,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_05,7/10/2024,ASHC,5,7/10/0204,110.46,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_06,7/10/2024,ASHC,6,7/10/0204,117.58,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_07,7/10/2024,ASHC,7,7/10/0204,124.5,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_08,7/10/2024,ASHC,8,7/10/0204,95.05,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_09,7/10/2024,ASHC,9,7/10/0204,129.02,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_10,7/10/2024,ASHC,10,7/10/0204,106.08,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_11,7/10/2024,ASHC,11,7/10/0204,119.3,5_fair,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_12,7/10/2024,ASHC,12,7/10/0204,102.8,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,  
0724ASHC_13,7/10/2024,ASHC,13,7/10/0204,109.62,5_fair,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_14,7/10/2024,ASHC,14,7/10/0204,115,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_15,7/10/2024,ASHC,15,7/10/0204,115.17,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_16,7/10/2024,ASHC,16,7/10/0204,113.42,2_good,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_17,7/10/2024,ASHC,17,7/10/0204,115.83,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_18,7/10/2024,ASHC,18,7/10/0204,126.08,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_19,7/10/2024,ASHC,19,7/10/0204,126.06,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_20,7/10/2024,ASHC,20,7/10/0204,100.57,2_good,,TRUE,TRUE,TRUE,TRUE,7/10/2024,7/12/2024,,,
0724ASHC_21,7/10/2024,ASHC,21,7/10/0204,146.7,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_22,7/10/2024,ASHC,22,7/10/0204,110.38,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_23,7/10/2024,ASHC,23,7/10/0204,124.56,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_24,7/10/2024,ASHC,24,7/10/0204,110.22,2_good,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_25,7/10/2024,ASHC,25,7/10/0204,132.82,2_good,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_26,7/10/2024,ASHC,26,7/10/0204,98.26,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_27,7/10/2024,ASHC,27,7/10/0204,119.54,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_28,7/10/2024,ASHC,28,7/10/0204,108.39,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_29,7/10/2024,ASHC,29,7/10/0204,106.99,5_fair,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
0724ASHC_30,7/10/2024,ASHC,30,7/10/0204,111.65,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/11/2024,7/12/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
