lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0724FENC_01,7/1/2024,FENC,1,7/2/2024,121.22,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_02,7/1/2024,FENC,2,7/2/2024,99.18,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_03,7/1/2024,FENC,3,7/2/2024,120.91,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_04,7/1/2024,FENC,4,7/2/2024,116.55,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_05,7/1/2024,FENC,5,7/2/2024,107.74,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_06,7/1/2024,FENC,6,7/2/2024,107.64,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_07,7/1/2024,FENC,7,7/2/2024,124.25,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_08,7/1/2024,FENC,8,7/2/2024,83.94,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_09,7/1/2024,FENC,9,7/2/2024,87.65,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_10,7/1/2024,FENC,10,7/2/2024,115.73,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_11,7/1/2024,FENC,11,7/2/2024,96.39,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_12,7/1/2024,FENC,12,7/2/2024,112.54,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,  
0724FENC_13,7/1/2024,FENC,13,7/2/2024,115.22,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_14,7/1/2024,FENC,14,7/2/2024,85.93,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_15,7/1/2024,FENC,15,7/2/2024,106.65,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_16,7/1/2024,FENC,16,7/2/2024,98.96,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_17,7/1/2024,FENC,17,7/2/2024,99.92,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_18,7/1/2024,FENC,18,7/2/2024,100.87,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_19,7/1/2024,FENC,19,7/2/2024,94.5,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_20,7/1/2024,FENC,20,7/2/2024,94.71,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_21,7/1/2024,FENC,21,7/2/2024,98.64,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_22,7/1/2024,FENC,22,7/2/2024,104.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_23,7/1/2024,FENC,23,7/2/2024,117.35,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_24,7/1/2024,FENC,24,7/2/2024,90.53,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_25,7/1/2024,FENC,25,7/2/2024,108.45,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_26,7/1/2024,FENC,26,7/2/2024,106.16,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_27,7/1/2024,FENC,27,7/2/2024,97.19,5_fair,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_28,7/1/2024,FENC,28,7/2/2024,100.15,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_29,7/1/2024,FENC,29,7/2/2024,111.05,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
0724FENC_30,7/1/2024,FENC,30,7/2/2024,82.44,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/2/2024,7/3/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
