lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0923GOLD_01,2023-09-26,GOLD,1,NA,NA,2023-09-26,68.01,133.88,43.04,22.25,5_fair,pea crab ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_02,2023-09-26,GOLD,2,NA,NA,2023-09-26,121.4,128.71,60.86,21.96,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_03,2023-09-26,GOLD,3,NA,NA,2023-09-26,86.35,115.27,57.57,22.98,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_04,2023-09-26,GOLD,4,NA,NA,2023-09-26,94.2,108.04,56.95,24.73,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_05,2023-09-26,GOLD,5,NA,NA,2023-09-26,72.21,103.52,49.39,22.47,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_06,2023-09-26,GOLD,6,NA,NA,2023-09-26,47.32,103.01,50.37,16.51,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_07,2023-09-26,GOLD,7,NA,NA,2023-09-26,100.64,112.79,57.87,25.42,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_08,2023-09-26,GOLD,8,NA,NA,2023-09-26,46.23,111.35,38.49,18.79,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_09,2023-09-26,GOLD,9,NA,NA,2023-09-26,76.33,101.95,51.81,27.12,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
0923GOLD_10,2023-09-26,GOLD,10,NA,NA,2023-09-26,54.88,116.89,45.86,17.43,7_poor_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-26,2023-09-27,,,,,,,,,,,,,
