lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh,,,,,,,,,,,,,
0923LAUR_01,2023-09-27,LAUR,1,NA,NA,2023-09-28,321.51,131.63,108.05,41.24,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_02,2023-09-27,LAUR,2,NA,NA,2023-09-28,149.24,101.44,92,30.52,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_03,2023-09-27,LAUR,3,NA,NA,2023-09-28,246.35,115.17,112.6,32.93,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_04,2023-09-27,LAUR,4,NA,NA,2023-09-28,212.84,110.22,92.49,36.11,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_05,2023-09-27,LAUR,5,NA,NA,2023-09-28,273.4,113.16,91.67,37.02,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_06,2023-09-27,LAUR,6,NA,NA,2023-09-28,188.46,112.8,84.38,42.84,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_07,2023-09-27,LAUR,7,NA,NA,2023-09-28,235.13,108.4,97.51,37.06,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_08,2023-09-27,LAUR,8,NA,NA,2023-09-28,208.29,106.42,90.78,34.79,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_09,2023-09-27,LAUR,9,NA,NA,2023-09-28,183.9,104.28,83.01,40.72,2_good,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_10,2023-09-27,LAUR,10,NA,NA,2023-09-28,226.91,114.78,88.8,34.8,6_fair_minus,post spawn,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_11,2023-09-27,LAUR,11,NA,NA,2023-09-28,285.53,141.22,105.73,35.41,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_12,2023-09-27,LAUR,12,NA,NA,2023-09-28,154.12,98.45,81.03,30.66,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_13,2023-09-27,LAUR,13,NA,NA,2023-09-28,122.72,111.71,96.34,26.68,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_14,2023-09-27,LAUR,14,NA,NA,2023-09-28,205.59,114.6,92.17,44.09,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
0923LAUR_15,2023-09-27,LAUR,15,NA,NA,2023-09-28,132.23,116.05,75.04,26.33,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-09-28,2023-09-29,,,,,,,,,,,,,
