lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0924GOLD_01,9/16/2024,GOLD,1,9/17/2024,124.19,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_02,9/16/2024,GOLD,2,9/17/2024,155.95,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_03,9/16/2024,GOLD,3,9/17/2024,125.08,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_04,9/16/2024,GOLD,4,9/17/2024,102.09,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_05,9/16/2024,GOLD,5,9/17/2024,124.4,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_06,9/16/2024,GOLD,6,9/17/2024,104.73,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_07,9/16/2024,GOLD,7,9/17/2024,131.08,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_08,9/16/2024,GOLD,8,9/17/2024,145.09,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_09,9/16/2024,GOLD,9,9/17/2024,94.84,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_10,9/16/2024,GOLD,10,9/17/2024,114.73,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_11,9/16/2024,GOLD,11,9/17/2024,132.11,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_12,9/16/2024,GOLD,12,9/17/2024,100.22,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,  
0924GOLD_13,9/16/2024,GOLD,13,9/17/2024,138.38,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_14,9/16/2024,GOLD,14,9/17/2024,147.94,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_15,9/16/2024,GOLD,15,9/17/2024,84.09,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_16,9/16/2024,GOLD,16,9/17/2024,127.13,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_17,9/16/2024,GOLD,17,9/17/2024,118.01,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_18,9/16/2024,GOLD,18,9/17/2024,103.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_19,9/16/2024,GOLD,19,9/17/2024,139.88,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_20,9/16/2024,GOLD,20,9/17/2024,91.16,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_21,9/16/2024,GOLD,21,9/17/2024,124.12,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_22,9/16/2024,GOLD,22,9/17/2024,130.7,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_23,9/16/2024,GOLD,23,9/17/2024,111.91,7_poor_plus,is 26 in cassette,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_24,9/16/2024,GOLD,24,9/17/2024,95.7,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_25,9/16/2024,GOLD,25,9/17/2024,130.24,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_26,9/16/2024,GOLD,26,9/17/2024,97.62,4_fair_plus,is 23 in cassette ,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_27,9/16/2024,GOLD,27,9/17/2024,84.63,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_28,9/16/2024,GOLD,28,9/17/2024,107.01,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_29,9/16/2024,GOLD,29,9/17/2024,121.25,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
0924GOLD_30,9/16/2024,GOLD,30,9/17/2024,116.13,5_fair,,TRUE,TRUE,TRUE,TRUE,9/17/2024,9/18/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
