lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
1024ASHC_01,10/21/2024,ASHC,1,10/21/2024,125.12,2_good,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_02,10/21/2024,ASHC,2,10/21/2024,112.04,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_03,10/21/2024,ASHC,3,10/21/2024,106.17,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_04,10/21/2024,ASHC,4,10/21/2024,103.4,2_good,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_05,10/21/2024,ASHC,5,10/21/2024,101.87,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_06,10/21/2024,ASHC,6,10/21/2024,115.9,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_07,10/21/2024,ASHC,7,10/21/2024,108.22,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_08,10/21/2024,ASHC,8,10/21/2024,101.35,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_09,10/21/2024,ASHC,9,10/21/2024,113.7,2_good,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_10,10/21/2024,ASHC,10,10/21/2024,104.22,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_11,10/21/2024,ASHC,11,10/21/2024,116.36,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_12,10/21/2024,ASHC,12,10/21/2024,114.92,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,  
1024ASHC_13,10/21/2024,ASHC,13,10/21/2024,122.88,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_14,10/21/2024,ASHC,14,10/21/2024,94.14,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_15,10/21/2024,ASHC,15,10/21/2024,116.54,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_16,10/21/2024,ASHC,16,10/21/2024,133.1,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_17,10/21/2024,ASHC,17,10/21/2024,96.88,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_18,10/21/2024,ASHC,18,10/21/2024,128.55,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_19,10/21/2024,ASHC,19,10/21/2024,115.17,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_20,10/21/2024,ASHC,20,10/21/2024,97.76,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_21,10/21/2024,ASHC,21,10/21/2024,89.88,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_22,10/21/2024,ASHC,22,10/21/2024,102.23,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_23,10/21/2024,ASHC,23,10/21/2024,108.34,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_24,10/21/2024,ASHC,24,10/21/2024,99.76,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_25,10/21/2024,ASHC,25,10/21/2024,107.73,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_26,10/21/2024,ASHC,26,10/21/2024,108.17,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_27,10/21/2024,ASHC,27,10/21/2024,122.83,2_good,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_28,10/21/2024,ASHC,28,10/21/2024,117.46,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_29,10/21/2024,ASHC,29,10/21/2024,105.09,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
1024ASHC_30,10/21/2024,ASHC,30,10/21/2024,101.93,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/21/2024,10/23/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
