lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
1024GOLD_01,10/15/2024,GOLD,1,10/16/2024,110.63,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_02,10/15/2024,GOLD,2,10/16/2024,139.49,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_03,10/15/2024,GOLD,3,10/16/2024,144.31,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_04,10/15/2024,GOLD,4,10/16/2024,112.11,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_05,10/15/2024,GOLD,5,10/16/2024,138.49,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_06,10/15/2024,GOLD,6,10/16/2024,149.02,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_07,10/15/2024,GOLD,7,10/16/2024,133.3,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_08,10/15/2024,GOLD,8,10/16/2024,120.92,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_09,10/15/2024,GOLD,9,10/16/2024,146.95,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_10,10/15/2024,GOLD,10,10/16/2024,131.96,9_very_poor,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_11,10/15/2024,GOLD,11,10/16/2024,97.66,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_12,10/15/2024,GOLD,12,10/16/2024,108.85,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,  
1024GOLD_13,10/15/2024,GOLD,13,10/16/2024,144.51,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_14,10/15/2024,GOLD,14,10/16/2024,123.45,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_15,10/15/2024,GOLD,15,10/16/2024,117.18,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_16,10/15/2024,GOLD,16,10/16/2024,109.35,2_good,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_17,10/15/2024,GOLD,17,10/16/2024,148.81,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_18,10/15/2024,GOLD,18,10/16/2024,99.39,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_19,10/15/2024,GOLD,19,10/16/2024,93.46,7_poor_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_20,10/15/2024,GOLD,20,10/16/2024,101.3,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_21,10/15/2024,GOLD,21,10/16/2024,119.64,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_22,10/15/2024,GOLD,22,10/16/2024,90.13,3_good_minus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_23,10/15/2024,GOLD,23,10/16/2024,110.16,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_24,10/15/2024,GOLD,24,10/16/2024,117.12,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_25,10/15/2024,GOLD,25,10/16/2024,132.23,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_26,10/15/2024,GOLD,26,10/16/2024,105.47,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_27,10/15/2024,GOLD,27,10/16/2024,136.09,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_28,10/15/2024,GOLD,28,10/16/2024,104.29,5_fair,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_29,10/15/2024,GOLD,29,10/16/2024,91.76,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
1024GOLD_30,10/15/2024,GOLD,30,10/16/2024,87.86,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,10/16/2024,10/17/2024,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
