"Date","Sample_ID","Concentration","Units"
"4/6/2024 14:16","0423ASHC_01",9.32,"ng/uL"
"4/6/2024 14:16","0423ASHC_02",22.2,"ng/uL"
"4/6/2024 14:16","0423ASHC_03",22.6,"ng/uL"
"4/6/2024 14:16","0423ASHC_04",12.8,"ng/uL"
"4/6/2024 14:16","0423ASHC_05",25.3,"ng/uL"
"4/6/2024 14:16","0423ASHC_06",18.2,"ng/uL"
"4/6/2024 14:16","0423ASHC_07",24.9,"ng/uL"
"4/6/2024 14:16","0423ASHC_08",16.4,"ng/uL"
"4/6/2024 14:18","0423ASHC_09",22,"ng/uL"
"4/6/2024 14:18","0423ASHC_10",31.4,"ng/uL"
"4/6/2024 14:18","0423ASHC_11",37.4,"ng/uL"
"4/6/2024 14:18","0423ASHC_12",26.5,"ng/uL"
"4/6/2024 14:18","0423ASHC_13",29.9,"ng/uL"
"4/6/2024 14:18","0423ASHC_14",37,"ng/uL"
"4/6/2024 14:18","0423ASHC_15",27,"ng/uL"
"4/6/2024 14:18","0423ASHC_16",20.4,"ng/uL"
"4/6/2024 14:20","0423ASHC_17",28.3,"ng/uL"
"4/6/2024 14:20","0423ASHC_18",28.4,"ng/uL"
"4/6/2024 14:20","0423ASHC_19",27,"ng/uL"
"4/6/2024 14:20","0423ASHC_20",25.4,"ng/uL"
"4/6/2024 14:20","0423ASHC_21",35.6,"ng/uL"
"4/6/2024 14:20","0423ASHC_22",33.5,"ng/uL"
"4/6/2024 14:20","0423ASHC_23",31,"ng/uL"
"4/6/2024 14:20","0423ASHC_24",24.9,"ng/uL"
"4/6/2024 14:21","0423ASHC_25",83.6,"ng/uL"
"4/6/2024 14:21","0423ASHC_26",26.6,"ng/uL"
"4/6/2024 14:21","0423ASHC_27",32.6,"ng/uL"
"4/6/2024 14:21","0423ASHC_28",29.5,"ng/uL"
"4/6/2024 14:21","0423ASHC_29",66.8,"ng/uL"
"4/6/2024 14:21","0423ASHC_30",50.8,"ng/uL"
"4/6/2024 14:32","0423FENC_01",33.2,"ng/uL"
"4/6/2024 14:32","0423FENC_02",31.1,"ng/uL"
"4/6/2024 14:32","0423FENC_03",50,"ng/uL"
"4/6/2024 14:32","0423FENC_04",72.4,"ng/uL"
"4/6/2024 14:32","0423FENC_05",54.4,"ng/uL"
"4/6/2024 14:32","0423FENC_06",60.4,"ng/uL"
"4/6/2024 14:32","0423FENC_07",33.5,"ng/uL"
"4/6/2024 14:32","0423FENC_08",27.3,"ng/uL"
"4/6/2024 14:36","0423FENC_09",30.8,"ng/uL"
"4/6/2024 14:36","0423FENC_10",58.4,"ng/uL"
"4/6/2024 14:36","0423FENC_11",41.6,"ng/uL"
"4/6/2024 14:36","0423FENC_12",38.1,"ng/uL"
"4/6/2024 14:36","0423FENC_13",79.2,"ng/uL"
"4/6/2024 14:36","0423FENC_14",39.8,"ng/uL"
"4/6/2024 14:36","0423FENC_15",59.6,"ng/uL"
"4/6/2024 14:36","0423FENC_16",119,"ng/uL"
"4/6/2024 14:39","0423FENC_17",43.2,"ng/uL"
"4/6/2024 14:39","0423FENC_18",44.4,"ng/uL"
"4/6/2024 14:39","0423FENC_19",74.8,"ng/uL"
"4/6/2024 14:39","0423FENC_20",43.2,"ng/uL"
"4/6/2024 14:39","0423FENC_21",34.4,"ng/uL"
"4/6/2024 14:39","0423FENC_22",54.4,"ng/uL"
"4/6/2024 14:39","0423FENC_23",56.4,"ng/uL"
"4/6/2024 14:39","0423FENC_24",51.6,"ng/uL"
"4/6/2024 14:41","0423FENC_25",37.5,"ng/uL"
"4/6/2024 14:41","0423FENC_26",34.4,"ng/uL"
"4/6/2024 14:41","0423FENC_27",12.5,"ng/uL"
"4/6/2024 14:41","0423FENC_28",55.2,"ng/uL"
"4/6/2024 14:41","0423FENC_29",21.5,"ng/uL"
"4/6/2024 14:41","0423FENC_30",39.6,"ng/uL"
"6/6/2024 14:09","0523ASHC_01",75.6,"ng/uL"
"6/6/2024 14:09","0523ASHC_02",82.8,"ng/uL"
"6/6/2024 14:09","0523ASHC_03",60.8,"ng/uL"
"6/6/2024 14:09","0523ASHC_04",72.4,"ng/uL"
"6/6/2024 14:09","0523ASHC_05",58.4,"ng/uL"
"6/6/2024 14:09","0523ASHC_06",62.4,"ng/uL"
"6/6/2024 14:09","0523ASHC_07",68,"ng/uL"
"6/6/2024 14:09","0523ASHC_08",42,"ng/uL"
"6/6/2024 14:10","0523ASHC_09",39.6,"ng/uL"
"6/6/2024 14:10","0523ASHC_10",62.4,"ng/uL"
"6/6/2024 14:10","0523ASHC_11",80,"ng/uL"
"6/6/2024 14:10","0523ASHC_12",80.4,"ng/uL"
"6/6/2024 14:10","0523ASHC_13",50.4,"ng/uL"
"6/6/2024 14:10","0523ASHC_14",50.4,"ng/uL"
"6/6/2024 14:10","0523ASHC_15",74.8,"ng/uL"
"6/6/2024 14:10","0523ASHC_16",62.4,"ng/uL"
"6/6/2024 14:11","0523ASHC_17",49.6,"ng/uL"
"6/6/2024 14:11","0523ASHC_18",73.6,"ng/uL"
"6/6/2024 14:11","0523ASHC_19",52.8,"ng/uL"
"6/6/2024 14:11","0523ASHC_20",40.8,"ng/uL"
"6/6/2024 14:11","0523ASHC_21",52.4,"ng/uL"
"6/6/2024 14:11","0523ASHC_22",69.6,"ng/uL"
"6/6/2024 14:11","0523ASHC_23",51.2,"ng/uL"
"6/6/2024 14:11","0523ASHC_24",57.2,"ng/uL"
"6/6/2024 14:11","0523ASHC_25",37.1,"ng/uL"
"6/6/2024 14:11","0523ASHC_26",39.1,"ng/uL"
"6/6/2024 14:11","0523ASHC_27",42.4,"ng/uL"
"6/6/2024 14:11","0523ASHC_28",40,"ng/uL"
"6/6/2024 14:11","0523ASHC_29",38.9,"ng/uL"
"6/6/2024 14:11","0523ASHC_30",42.4,"ng/uL"
"6/6/2024 14:25","0523FENC_01",28.7,"ng/uL"
"6/6/2024 14:25","0523FENC_02",28.8,"ng/uL"
"6/6/2024 14:25","0523FENC_03",41.6,"ng/uL"
"6/6/2024 14:25","0523FENC_04",53.2,"ng/uL"
"6/6/2024 14:25","0523FENC_05",42.8,"ng/uL"
"6/6/2024 14:25","0523FENC_06",46.8,"ng/uL"
"6/6/2024 14:25","0523FENC_07",31.6,"ng/uL"
"6/6/2024 14:25","0523FENC_08",24,"ng/uL"
"6/6/2024 14:26","0523FENC_09",26.5,"ng/uL"
"6/6/2024 14:26","0523FENC_10",56.8,"ng/uL"
"6/6/2024 14:26","0523FENC_11",33,"ng/uL"
"6/6/2024 14:26","0523FENC_12",29.3,"ng/uL"
"6/6/2024 14:26","0523FENC_13",63.2,"ng/uL"
"6/6/2024 14:26","0523FENC_14",33.4,"ng/uL"
"6/6/2024 14:26","0523FENC_15",67.2,"ng/uL"
"6/6/2024 14:26","0523FENC_16",98,"ng/uL"
"6/6/2024 14:30","0523FENC_17",36.7,"ng/uL"
"6/6/2024 14:30","0523FENC_18",40.4,"ng/uL"
"6/6/2024 14:30","0523FENC_19",61.2,"ng/uL"
"6/6/2024 14:30","0523FENC_20",34.9,"ng/uL"
"6/6/2024 14:30","0523FENC_21",26.8,"ng/uL"
"6/6/2024 14:30","0523FENC_22",44.8,"ng/uL"
"6/6/2024 14:30","0523FENC_23",56,"ng/uL"
"6/6/2024 14:30","0523FENC_24",47.6,"ng/uL"
"6/6/2024 14:30","0523FENC_25",31.7,"ng/uL"
"6/6/2024 14:30","0523FENC_26",29.9,"ng/uL"
"6/6/2024 14:30","0523FENC_27",10.7,"ng/uL"
"6/6/2024 14:30","0523FENC_28",46.8,"ng/uL"
"6/6/2024 14:30","0523FENC_29",30.1,"ng/uL"
"6/6/2024 14:30","0523FENC_30",37,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_01",42,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_02",66,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_03",17.3,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_04",80.8,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_05",50.4,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_06",74,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_07",17.8,"ng/uL"
"20/06/2024 11:07:45 AM","0523GOLD_08",58,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_09",62,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_10",30.6,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_11",44.4,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_12",120,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_13",110,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_14",31.7,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_15",53.6,"ng/uL"
"20/06/2024 11:08:40 AM","0523GOLD_16",35.8,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_17",37.7,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_18",229,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_19",66.8,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_20",67.6,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_21",127,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_22",163,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_23",67.6,"ng/uL"
"20/06/2024 11:09:14 AM","0523GOLD_24",64.4,"ng/uL"
"20/06/2024 11:11:41 AM","0523GOLD_25",33.2,"ng/uL"
"20/06/2024 11:11:41 AM","0523GOLD_26",59.2,"ng/uL"
"20/06/2024 11:11:41 AM","0523GOLD_27",163,"ng/uL"
"20/06/2024 11:11:41 AM","0523GOLD_28",30.1,"ng/uL"
