"lab_id","date_collected","site","lab_sample","date_rftmread1","rftm_reader1","rftm_intensity_read1","duplicate_read","date_rftmread2","rftm_reader2","rftm_intensity_read2","rftm_notes","rftm_final","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"0324ASHC_01",2024-03-14,"ASHC",1,2024-03-21,"Kelly Roper",0,TRUE,2024-03-21,"Isaiah Mayo",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_02",2024-03-14,"ASHC",2,2024-03-21,"Kelly Roper",0,TRUE,2024-03-21,"Isaiah Mayo",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_03",2024-03-14,"ASHC",3,2024-03-21,"Kyra Lenderman",1,TRUE,2024-03-21,"Isaiah Mayo",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_04",2024-03-14,"ASHC",4,2024-03-21,"Kyra Lenderman",0,TRUE,2024-03-21,"Isaiah Mayo",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_05",2024-03-14,"ASHC",5,2024-03-21,"Isaiah Mayo",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_06",2024-03-14,"ASHC",6,2024-03-21,"Isaiah Mayo",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_07",2024-03-14,"ASHC",7,2024-03-21,"Kelly Roper",0.5,TRUE,2024-03-21,"Isaiah Mayo",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_08",2024-03-14,"ASHC",8,2024-03-21,"Kelly Roper",0,TRUE,2024-03-21,"Isaiah Mayo",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_09",2024-03-14,"ASHC",9,2024-03-21,"Isaiah Mayo",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_10",2024-03-14,"ASHC",10,2024-03-21,"Isaiah Mayo",1,FALSE,2024-03-21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_11",2024-03-14,"ASHC",11,2024-03-21,"Kelly Roper",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_12",2024-03-14,"ASHC",12,2024-03-21,"Kelly Roper",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_13",2024-03-14,"ASHC",13,2024-03-21,"Kyra Lenderman",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_14",2024-03-14,"ASHC",14,2024-03-21,"Kyra Lenderman",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_15",2024-03-14,"ASHC",15,2024-03-21,"Kyra Lenderman",1,FALSE,2024-03-21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_16",2024-03-14,"ASHC",16,2024-03-21,"Kyra Lenderman",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_17",2024-03-14,"ASHC",17,2024-03-21,"Kelly Roper",1,TRUE,2024-03-21,"Isaiah Mayo",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_18",2024-03-14,"ASHC",18,2024-03-21,"Kelly Roper",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_19",2024-03-14,"ASHC",19,2024-03-21,"Meghana Parikh",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_20",2024-03-14,"ASHC",20,2024-03-21,"Meghana Parikh",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_21",2024-03-14,"ASHC",21,2024-03-21,"Kelly Roper",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_22",2024-03-14,"ASHC",22,2024-03-21,"Kelly Roper",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_23",2024-03-14,"ASHC",23,2024-03-21,"Kelly Roper",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_24",2024-03-14,"ASHC",24,2024-03-21,"Kelly Roper",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_25",2024-03-14,"ASHC",25,2024-03-21,"Isaiah Mayo",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_26",2024-03-14,"ASHC",26,2024-03-21,"Isaiah Mayo",1,FALSE,2024-03-21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_27",2024-03-14,"ASHC",27,2024-03-21,"Isaiah Mayo",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_28",2024-03-14,"ASHC",28,2024-03-21,"Isaiah Mayo",0.5,FALSE,2024-03-21,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_29",2024-03-14,"ASHC",29,2024-03-21,"Kyra Lenderman",0,FALSE,2024-03-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324ASHC_30",2024-03-14,"ASHC",30,2024-03-21,"Kyra Lenderman",1,FALSE,2024-03-21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_01",2024-03-06,"FENC",1,2024-03-12,"Kelly Roper",0.5,TRUE,2024-03-12,"Isaiah Mayo",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_02",2024-03-06,"FENC",2,2024-03-12,"Kelly Roper",0.5,TRUE,2024-03-12,"Isaiah Mayo",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_03",2024-03-06,"FENC",3,2024-03-12,"Isaiah Mayo",1,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_04",2024-03-06,"FENC",4,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_05",2024-03-06,"FENC",5,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_06",2024-03-06,"FENC",6,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_07",2024-03-06,"FENC",7,2024-03-12,"Kelly Roper",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_08",2024-03-06,"FENC",8,2024-03-12,"Kelly Roper",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_09",2024-03-06,"FENC",9,2024-03-12,"Meghana Parikh",2,TRUE,2024-03-12,"Kyra Lenderman",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_10",2024-03-06,"FENC",10,2024-03-12,"Meghana Parikh",3,TRUE,2024-03-12,"Kyra Lenderman",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_11",2024-03-06,"FENC",11,2024-03-12,"Kyra Lenderman",1,TRUE,2024-03-12,"Meghana Parikh",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_12",2024-03-06,"FENC",12,2024-03-12,"Kyra Lenderman",0,TRUE,2024-03-12,"Meghana Parikh",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_13",2024-03-06,"FENC",13,2024-03-12,"Kelly Roper",0.5,TRUE,2024-03-12,"Meghana Parikh",1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_14",2024-03-06,"FENC",14,2024-03-12,"Kelly Roper",1,TRUE,2024-03-12,"Meghana Parikh",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_15",2024-03-06,"FENC",15,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_16",2024-03-06,"FENC",16,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_17",2024-03-06,"FENC",17,2024-03-12,"Meghana Parikh",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_18",2024-03-06,"FENC",18,2024-03-12,"Meghana Parikh",1,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_19",2024-03-06,"FENC",19,2024-03-12,"Kyra Lenderman",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_20",2024-03-06,"FENC",20,2024-03-12,"Kyra Lenderman",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_21",2024-03-06,"FENC",21,2024-03-12,"Kyra Lenderman",3,TRUE,2024-03-12,"Isaiah Mayo",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_22",2024-03-06,"FENC",22,2024-03-12,"Kyra Lenderman",1,FALSE,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_23",2024-03-06,"FENC",23,2024-03-12,"Kelly Roper",0,TRUE,2024-03-12,"Meghana Parikh",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_24",2024-03-06,"FENC",24,2024-03-12,"Kelly Roper",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_25",2024-03-06,"FENC",25,2024-03-12,"Isaiah Mayo",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_26",2024-03-06,"FENC",26,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_27",2024-03-06,"FENC",27,2024-03-12,"Isaiah Mayo",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_28",2024-03-06,"FENC",28,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_29",2024-03-06,"FENC",29,2024-03-12,"Isaiah Mayo",0,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324FENC_30",2024-03-06,"FENC",30,2024-03-12,"Isaiah Mayo",0.5,FALSE,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_01",2023-04-23,"ASHC",1,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_02",2023-04-23,"ASHC",2,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_03",2023-04-23,"ASHC",3,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_04",2023-04-23,"ASHC",4,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_05",2023-04-23,"ASHC",5,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_06",2023-04-23,"ASHC",6,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_07",2023-04-23,"ASHC",7,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_08",2023-04-23,"ASHC",8,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_09",2023-04-23,"ASHC",9,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_10",2023-04-23,"ASHC",10,2023-05-01,"Mariah Kachmar",0.5,TRUE,2023-05-01,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_11",2023-04-23,"ASHC",11,2023-05-04,"Mariah Kachmar",0.5,TRUE,2023-05-04,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_12",2023-04-23,"ASHC",12,2023-05-04,"Mariah Kachmar",0.5,TRUE,2023-05-04,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_13",2023-04-23,"ASHC",13,2023-05-04,"Mariah Kachmar",0.5,TRUE,2023-05-04,"Meghana Parikh",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0423ASHC_14",2023-04-23,"ASHC",14,2023-05-04,"Mariah Kachmar",0.5,TRUE,2023-05-04,"Meghana Parikh",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
