Field ID,Date,Site,State,Bag_number,Individual,Shell_length,Survival
0624FENC,6/10/2024,FENC,CT,1,1,14.78,0
0624FENC,6/10/2024,FENC,CT,1,2,11.09,0
0624FENC,6/10/2024,FENC,CT,1,3,7.11,0
0624FENC,6/10/2024,FENC,CT,1,4,7.6,0
0624FENC,6/10/2024,FENC,CT,1,5,8.6,0
0624FENC,6/10/2024,FENC,CT,1,6,9.53,0
0624FENC,6/10/2024,FENC,CT,1,7,23.53,0
0624FENC,6/10/2024,FENC,CT,1,8,10.27,0
0624FENC,6/10/2024,FENC,CT,1,9,18.1,0
0624FENC,6/10/2024,FENC,CT,1,10,7.58,0
0624FENC,6/10/2024,FENC,CT,1,11,16.54,0
0624FENC,6/10/2024,FENC,CT,1,12,9.23,0
0624FENC,6/10/2024,FENC,CT,1,13,20.54,0
0624FENC,6/10/2024,FENC,CT,1,14,19.46,0
0624FENC,6/10/2024,FENC,CT,1,15,13.78,0
0624FENC,6/10/2024,FENC,CT,1,16,17.21,0
0624FENC,6/10/2024,FENC,CT,1,17,21.28,0
0624FENC,6/10/2024,FENC,CT,1,18,16.24,0
0624FENC,6/10/2024,FENC,CT,1,19,23.49,0
0624FENC,6/10/2024,FENC,CT,1,20,16.84,0
0624FENC,6/10/2024,FENC,CT,1,21,16.75,0
0624FENC,6/10/2024,FENC,CT,1,22,22.73,0
0624FENC,6/10/2024,FENC,CT,1,23,21.19,0
0624FENC,6/10/2024,FENC,CT,1,24,15.65,0
0624FENC,6/10/2024,FENC,CT,1,25,10.44,0
0624FENC,6/10/2024,FENC,CT,1,26,17.41,0
0624FENC,6/10/2024,FENC,CT,1,27,15.73,0
0624FENC,6/10/2024,FENC,CT,1,28,20.49,0
0624FENC,6/10/2024,FENC,CT,1,29,28.37,0
0624FENC,6/10/2024,FENC,CT,1,30,15.79,0
0624FENC,6/10/2024,FENC,CT,1,31,9.17,0
0624FENC,6/10/2024,FENC,CT,1,32,18.99,0
0624FENC,6/10/2024,FENC,CT,1,33,13.79,0
0624FENC,6/10/2024,FENC,CT,1,34,15.95,0
0624FENC,6/10/2024,FENC,CT,1,35,20.67,0
0624FENC,6/10/2024,FENC,CT,1,36,27.38,0
0624FENC,6/10/2024,FENC,CT,1,37,16.16,0
0624FENC,6/10/2024,FENC,CT,1,38,13.39,0
0624FENC,6/10/2024,FENC,CT,1,39,14.5,0
0624FENC,6/10/2024,FENC,CT,1,40,19.7,0
0624FENC,6/10/2024,FENC,CT,1,41,30.09,0
0624FENC,6/10/2024,FENC,CT,1,42,9.96,0
0624FENC,6/10/2024,FENC,CT,1,43,17.52,0
0624FENC,6/10/2024,FENC,CT,1,44,12.2,0
0624FENC,6/10/2024,FENC,CT,1,45,27.45,0
0624FENC,6/10/2024,FENC,CT,1,46,7.91,0
0624FENC,6/10/2024,FENC,CT,1,47,16.89,0
0624FENC,6/10/2024,FENC,CT,1,48,23.53,0
0624FENC,6/10/2024,FENC,CT,1,49,12.13,0
0624FENC,6/10/2024,FENC,CT,1,50,15.19,0
0624FENC,6/10/2024,FENC,CT,1,51,,0
0624FENC,6/10/2024,FENC,CT,1,52,,0
0624FENC,6/10/2024,FENC,CT,1,53,,0
0624FENC,6/10/2024,FENC,CT,1,54,,0
0624FENC,6/10/2024,FENC,CT,1,55,,0
0624FENC,6/10/2024,FENC,CT,1,56,,0
0624FENC,6/10/2024,FENC,CT,1,57,,0
0624FENC,6/10/2024,FENC,CT,1,58,,0
0624FENC,6/10/2024,FENC,CT,1,59,,0
0624FENC,6/10/2024,FENC,CT,1,60,,0
0624FENC,6/10/2024,FENC,CT,1,61,,0
0624FENC,6/10/2024,FENC,CT,1,62,,0
0624FENC,6/10/2024,FENC,CT,1,63,,0
0624FENC,6/10/2024,FENC,CT,1,64,,0
0624FENC,6/10/2024,FENC,CT,1,65,,0
0624FENC,6/10/2024,FENC,CT,1,66,,0
0624FENC,6/10/2024,FENC,CT,1,67,,0
0624FENC,6/10/2024,FENC,CT,1,68,,0
0624FENC,6/10/2024,FENC,CT,1,69,,0
0624FENC,6/10/2024,FENC,CT,1,70,,0
0624FENC,6/10/2024,FENC,CT,1,71,,0
0624FENC,6/10/2024,FENC,CT,1,72,,0
0624FENC,6/10/2024,FENC,CT,1,73,,0
0624FENC,6/10/2024,FENC,CT,1,74,,0
0624FENC,6/10/2024,FENC,CT,1,75,,0
0624FENC,6/10/2024,FENC,CT,1,76,,0
0624FENC,6/10/2024,FENC,CT,1,77,,0
0624FENC,6/10/2024,FENC,CT,1,78,,0
0624FENC,6/10/2024,FENC,CT,1,79,,0
0624FENC,6/10/2024,FENC,CT,1,80,,0
0624FENC,6/10/2024,FENC,CT,1,81,,0
0624FENC,6/10/2024,FENC,CT,1,82,,0
0624FENC,6/10/2024,FENC,CT,1,83,,0
0624FENC,6/10/2024,FENC,CT,1,84,,0
0624FENC,6/10/2024,FENC,CT,1,85,,0
0624FENC,6/10/2024,FENC,CT,1,86,,0
0624FENC,6/10/2024,FENC,CT,1,87,,0
0624FENC,6/10/2024,FENC,CT,1,88,,0
0624FENC,6/10/2024,FENC,CT,1,89,,0
0624FENC,6/10/2024,FENC,CT,1,90,,0
0624FENC,6/10/2024,FENC,CT,1,91,,0
0624FENC,6/10/2024,FENC,CT,1,92,,1
0624FENC,6/10/2024,FENC,CT,1,93,,1
0624FENC,6/10/2024,FENC,CT,1,94,,1
0624FENC,6/10/2024,FENC,CT,1,95,,1
0624FENC,6/10/2024,FENC,CT,1,96,,1
0624FENC,6/10/2024,FENC,CT,1,97,,1
0624FENC,6/10/2024,FENC,CT,1,98,,1
0624FENC,6/10/2024,FENC,CT,1,99,,1
0624FENC,6/10/2024,FENC,CT,1,100,,1
0624FENC,6/10/2024,FENC,CT,2,1,11.68,0
0624FENC,6/10/2024,FENC,CT,2,2,26.28,0
0624FENC,6/10/2024,FENC,CT,2,3,12.33,0
0624FENC,6/10/2024,FENC,CT,2,4,16.75,0
0624FENC,6/10/2024,FENC,CT,2,5,12.98,0
0624FENC,6/10/2024,FENC,CT,2,6,26.34,0
0624FENC,6/10/2024,FENC,CT,2,7,11.64,0
0624FENC,6/10/2024,FENC,CT,2,8,16.74,0
0624FENC,6/10/2024,FENC,CT,2,9,24.68,0
0624FENC,6/10/2024,FENC,CT,2,10,27.7,0
0624FENC,6/10/2024,FENC,CT,2,11,22.25,0
0624FENC,6/10/2024,FENC,CT,2,12,18.71,0
0624FENC,6/10/2024,FENC,CT,2,13,20.97,0
0624FENC,6/10/2024,FENC,CT,2,14,19.56,0
0624FENC,6/10/2024,FENC,CT,2,15,12.56,0
0624FENC,6/10/2024,FENC,CT,2,16,22.31,0
0624FENC,6/10/2024,FENC,CT,2,17,12.59,0
0624FENC,6/10/2024,FENC,CT,2,18,25.29,0
0624FENC,6/10/2024,FENC,CT,2,19,17.1,0
0624FENC,6/10/2024,FENC,CT,2,20,18.77,0
0624FENC,6/10/2024,FENC,CT,2,21,19.87,0
0624FENC,6/10/2024,FENC,CT,2,22,22.6,0
0624FENC,6/10/2024,FENC,CT,2,23,20.21,0
0624FENC,6/10/2024,FENC,CT,2,24,11.31,0
0624FENC,6/10/2024,FENC,CT,2,25,18.62,0
0624FENC,6/10/2024,FENC,CT,2,26,26.86,0
0624FENC,6/10/2024,FENC,CT,2,27,27.12,0
0624FENC,6/10/2024,FENC,CT,2,28,15.01,0
0624FENC,6/10/2024,FENC,CT,2,29,11.76,0
0624FENC,6/10/2024,FENC,CT,2,30,10.9,0
0624FENC,6/10/2024,FENC,CT,2,31,12.24,0
0624FENC,6/10/2024,FENC,CT,2,32,21.58,0
0624FENC,6/10/2024,FENC,CT,2,33,22.99,0
0624FENC,6/10/2024,FENC,CT,2,34,20.12,0
0624FENC,6/10/2024,FENC,CT,2,35,21.2,0
0624FENC,6/10/2024,FENC,CT,2,36,21.54,0
0624FENC,6/10/2024,FENC,CT,2,37,11.9,0
0624FENC,6/10/2024,FENC,CT,2,38,10.94,0
0624FENC,6/10/2024,FENC,CT,2,39,17.78,0
0624FENC,6/10/2024,FENC,CT,2,40,17.29,0
0624FENC,6/10/2024,FENC,CT,2,41,6.79,0
0624FENC,6/10/2024,FENC,CT,2,42,10.21,0
0624FENC,6/10/2024,FENC,CT,2,43,20.54,0
0624FENC,6/10/2024,FENC,CT,2,44,15.42,0
0624FENC,6/10/2024,FENC,CT,2,45,10.96,0
0624FENC,6/10/2024,FENC,CT,2,46,16.23,0
0624FENC,6/10/2024,FENC,CT,2,47,12.99,0
0624FENC,6/10/2024,FENC,CT,2,48,19.21,0
0624FENC,6/10/2024,FENC,CT,2,49,20.92,0
0624FENC,6/10/2024,FENC,CT,2,50,32.73,0
0624FENC,6/10/2024,FENC,CT,2,51,,0
0624FENC,6/10/2024,FENC,CT,2,52,,0
0624FENC,6/10/2024,FENC,CT,2,53,,0
0624FENC,6/10/2024,FENC,CT,2,54,,0
0624FENC,6/10/2024,FENC,CT,2,55,,0
0624FENC,6/10/2024,FENC,CT,2,56,,0
0624FENC,6/10/2024,FENC,CT,2,57,,0
0624FENC,6/10/2024,FENC,CT,2,58,,0
0624FENC,6/10/2024,FENC,CT,2,59,,0
0624FENC,6/10/2024,FENC,CT,2,60,,0
0624FENC,6/10/2024,FENC,CT,2,61,,0
0624FENC,6/10/2024,FENC,CT,2,62,,0
0624FENC,6/10/2024,FENC,CT,2,63,,0
0624FENC,6/10/2024,FENC,CT,2,64,,0
0624FENC,6/10/2024,FENC,CT,2,65,,0
0624FENC,6/10/2024,FENC,CT,2,66,,0
0624FENC,6/10/2024,FENC,CT,2,67,,0
0624FENC,6/10/2024,FENC,CT,2,68,,0
0624FENC,6/10/2024,FENC,CT,2,69,,0
0624FENC,6/10/2024,FENC,CT,2,70,,0
0624FENC,6/10/2024,FENC,CT,2,71,,0
0624FENC,6/10/2024,FENC,CT,2,72,,0
0624FENC,6/10/2024,FENC,CT,2,73,,0
0624FENC,6/10/2024,FENC,CT,2,74,,0
0624FENC,6/10/2024,FENC,CT,2,75,,0
0624FENC,6/10/2024,FENC,CT,2,76,,0
0624FENC,6/10/2024,FENC,CT,2,77,,0
0624FENC,6/10/2024,FENC,CT,2,78,,0
0624FENC,6/10/2024,FENC,CT,2,79,,0
0624FENC,6/10/2024,FENC,CT,2,80,,0
0624FENC,6/10/2024,FENC,CT,2,81,,0
0624FENC,6/10/2024,FENC,CT,2,82,,0
0624FENC,6/10/2024,FENC,CT,2,83,,0
0624FENC,6/10/2024,FENC,CT,2,84,,0
0624FENC,6/10/2024,FENC,CT,2,85,,0
0624FENC,6/10/2024,FENC,CT,2,86,,0
0624FENC,6/10/2024,FENC,CT,2,87,,0
0624FENC,6/10/2024,FENC,CT,2,88,,0
0624FENC,6/10/2024,FENC,CT,2,89,,1
0624FENC,6/10/2024,FENC,CT,2,90,,1
0624FENC,6/10/2024,FENC,CT,2,91,,1
0624FENC,6/10/2024,FENC,CT,2,92,,1
0624FENC,6/10/2024,FENC,CT,2,93,,1
0624FENC,6/10/2024,FENC,CT,2,94,,1
0624FENC,6/10/2024,FENC,CT,2,95,,1
0624FENC,6/10/2024,FENC,CT,2,96,,1
0624FENC,6/10/2024,FENC,CT,2,97,,1
0624FENC,6/10/2024,FENC,CT,2,98,,1
0624FENC,6/10/2024,FENC,CT,2,99,,1
0624FENC,6/10/2024,FENC,CT,2,100,,1
0624FENC,6/10/2024,FENC,CT,3,1,11.51,0
0624FENC,6/10/2024,FENC,CT,3,2,25.97,0
0624FENC,6/10/2024,FENC,CT,3,3,15.04,0
0624FENC,6/10/2024,FENC,CT,3,4,18.5,0
0624FENC,6/10/2024,FENC,CT,3,5,7.8,0
0624FENC,6/10/2024,FENC,CT,3,6,21.69,0
0624FENC,6/10/2024,FENC,CT,3,7,23.15,0
0624FENC,6/10/2024,FENC,CT,3,8,18.37,0
0624FENC,6/10/2024,FENC,CT,3,9,13.25,0
0624FENC,6/10/2024,FENC,CT,3,10,17.39,0
0624FENC,6/10/2024,FENC,CT,3,11,18.68,0
0624FENC,6/10/2024,FENC,CT,3,12,20.63,0
0624FENC,6/10/2024,FENC,CT,3,13,20.63,0
0624FENC,6/10/2024,FENC,CT,3,14,12.89,0
0624FENC,6/10/2024,FENC,CT,3,15,23.65,0
0624FENC,6/10/2024,FENC,CT,3,16,23.74,0
0624FENC,6/10/2024,FENC,CT,3,17,17.9,0
0624FENC,6/10/2024,FENC,CT,3,18,14.62,0
0624FENC,6/10/2024,FENC,CT,3,19,14.77,0
0624FENC,6/10/2024,FENC,CT,3,20,14.78,0
0624FENC,6/10/2024,FENC,CT,3,21,34.92,0
0624FENC,6/10/2024,FENC,CT,3,22,20.43,0
0624FENC,6/10/2024,FENC,CT,3,23,14.42,0
0624FENC,6/10/2024,FENC,CT,3,24,12.3,0
0624FENC,6/10/2024,FENC,CT,3,25,13.15,0
0624FENC,6/10/2024,FENC,CT,3,26,22.85,0
0624FENC,6/10/2024,FENC,CT,3,27,21.26,0
0624FENC,6/10/2024,FENC,CT,3,28,15.1,0
0624FENC,6/10/2024,FENC,CT,3,29,12.99,0
0624FENC,6/10/2024,FENC,CT,3,30,10.28,0
0624FENC,6/10/2024,FENC,CT,3,31,11.49,0
0624FENC,6/10/2024,FENC,CT,3,32,18.38,0
0624FENC,6/10/2024,FENC,CT,3,33,12.1,0
0624FENC,6/10/2024,FENC,CT,3,34,18.29,0
0624FENC,6/10/2024,FENC,CT,3,35,25.93,0
0624FENC,6/10/2024,FENC,CT,3,36,15.8,0
0624FENC,6/10/2024,FENC,CT,3,37,12.65,0
0624FENC,6/10/2024,FENC,CT,3,38,10.88,0
0624FENC,6/10/2024,FENC,CT,3,39,11.52,0
0624FENC,6/10/2024,FENC,CT,3,40,18.95,0
0624FENC,6/10/2024,FENC,CT,3,41,20.34,0
0624FENC,6/10/2024,FENC,CT,3,42,15.93,0
0624FENC,6/10/2024,FENC,CT,3,43,24.78,0
0624FENC,6/10/2024,FENC,CT,3,44,22.83,0
0624FENC,6/10/2024,FENC,CT,3,45,17.17,0
0624FENC,6/10/2024,FENC,CT,3,46,19.96,0
0624FENC,6/10/2024,FENC,CT,3,47,22.67,0
0624FENC,6/10/2024,FENC,CT,3,48,20.78,0
0624FENC,6/10/2024,FENC,CT,3,49,16.94,0
0624FENC,6/10/2024,FENC,CT,3,50,22.31,0
0624FENC,6/10/2024,FENC,CT,3,51,,0
0624FENC,6/10/2024,FENC,CT,3,52,,0
0624FENC,6/10/2024,FENC,CT,3,53,,0
0624FENC,6/10/2024,FENC,CT,3,54,,0
0624FENC,6/10/2024,FENC,CT,3,55,,0
0624FENC,6/10/2024,FENC,CT,3,56,,0
0624FENC,6/10/2024,FENC,CT,3,57,,0
0624FENC,6/10/2024,FENC,CT,3,58,,0
0624FENC,6/10/2024,FENC,CT,3,59,,0
0624FENC,6/10/2024,FENC,CT,3,60,,0
0624FENC,6/10/2024,FENC,CT,3,61,,0
0624FENC,6/10/2024,FENC,CT,3,62,,0
0624FENC,6/10/2024,FENC,CT,3,63,,0
0624FENC,6/10/2024,FENC,CT,3,64,,0
0624FENC,6/10/2024,FENC,CT,3,65,,0
0624FENC,6/10/2024,FENC,CT,3,66,,0
0624FENC,6/10/2024,FENC,CT,3,67,,0
0624FENC,6/10/2024,FENC,CT,3,68,,0
0624FENC,6/10/2024,FENC,CT,3,69,,0
0624FENC,6/10/2024,FENC,CT,3,70,,0
0624FENC,6/10/2024,FENC,CT,3,71,,0
0624FENC,6/10/2024,FENC,CT,3,72,,0
0624FENC,6/10/2024,FENC,CT,3,73,,0
0624FENC,6/10/2024,FENC,CT,3,74,,0
0624FENC,6/10/2024,FENC,CT,3,75,,0
0624FENC,6/10/2024,FENC,CT,3,76,,0
0624FENC,6/10/2024,FENC,CT,3,77,,0
0624FENC,6/10/2024,FENC,CT,3,78,,0
0624FENC,6/10/2024,FENC,CT,3,79,,0
0624FENC,6/10/2024,FENC,CT,3,80,,0
0624FENC,6/10/2024,FENC,CT,3,81,,0
0624FENC,6/10/2024,FENC,CT,3,82,,0
0624FENC,6/10/2024,FENC,CT,3,83,,0
0624FENC,6/10/2024,FENC,CT,3,84,,0
0624FENC,6/10/2024,FENC,CT,3,85,,0
0624FENC,6/10/2024,FENC,CT,3,86,,0
0624FENC,6/10/2024,FENC,CT,3,87,,0
0624FENC,6/10/2024,FENC,CT,3,88,,0
0624FENC,6/10/2024,FENC,CT,3,89,,0
0624FENC,6/10/2024,FENC,CT,3,90,,0
0624FENC,6/10/2024,FENC,CT,3,91,,0
0624FENC,6/10/2024,FENC,CT,3,92,,0
0624FENC,6/10/2024,FENC,CT,3,93,,0
0624FENC,6/10/2024,FENC,CT,3,94,,0
0624FENC,6/10/2024,FENC,CT,3,95,,0
0624FENC,6/10/2024,FENC,CT,3,96,,0
0624FENC,6/10/2024,FENC,CT,3,97,,1
0624FENC,6/10/2024,FENC,CT,3,98,,1
0624FENC,6/10/2024,FENC,CT,3,99,,1
0624FENC,6/10/2024,FENC,CT,3,100,,1
