Field ID,Date,Site,State,Bag_number,Individual,Shell_length ,Survival
0724FENC,7/1/2024,FENC,CT,1,1,53.42,0
0724FENC,7/1/2024,FENC,CT,1,2,39.61,0
0724FENC,7/1/2024,FENC,CT,1,3,42.4,0
0724FENC,7/1/2024,FENC,CT,1,4,43.55,0
0724FENC,7/1/2024,FENC,CT,1,5,39.17,0
0724FENC,7/1/2024,FENC,CT,1,6,42.22,0
0724FENC,7/1/2024,FENC,CT,1,7,38.77,0
0724FENC,7/1/2024,FENC,CT,1,8,50.06,0
0724FENC,7/1/2024,FENC,CT,1,9,38.81,0
0724FENC,7/1/2024,FENC,CT,1,10,32.29,0
0724FENC,7/1/2024,FENC,CT,1,11,24.6,0
0724FENC,7/1/2024,FENC,CT,1,12,36.37,0
0724FENC,7/1/2024,FENC,CT,1,13,45.35,0
0724FENC,7/1/2024,FENC,CT,1,14,34.18,0
0724FENC,7/1/2024,FENC,CT,1,15,48.94,0
0724FENC,7/1/2024,FENC,CT,1,16,48.51,0
0724FENC,7/1/2024,FENC,CT,1,17,51.96,0
0724FENC,7/1/2024,FENC,CT,1,18,34.39,0
0724FENC,7/1/2024,FENC,CT,1,19,39.61,0
0724FENC,7/1/2024,FENC,CT,1,20,39.11,0
0724FENC,7/1/2024,FENC,CT,1,21,33.75,0
0724FENC,7/1/2024,FENC,CT,1,22,20.31,0
0724FENC,7/1/2024,FENC,CT,1,23,32.06,0
0724FENC,7/1/2024,FENC,CT,1,24,35.68,0
0724FENC,7/1/2024,FENC,CT,1,25,36.29,0
0724FENC,7/1/2024,FENC,CT,1,26,34.12,0
0724FENC,7/1/2024,FENC,CT,1,27,33.45,0
0724FENC,7/1/2024,FENC,CT,1,28,38.93,0
0724FENC,7/1/2024,FENC,CT,1,29,45.84,0
0724FENC,7/1/2024,FENC,CT,1,30,36.71,0
0724FENC,7/1/2024,FENC,CT,1,31,38.55,0
0724FENC,7/1/2024,FENC,CT,1,32,37.92,0
0724FENC,7/1/2024,FENC,CT,1,33,32.57,0
0724FENC,7/1/2024,FENC,CT,1,34,29.44,0
0724FENC,7/1/2024,FENC,CT,1,35,43.39,0
0724FENC,7/1/2024,FENC,CT,1,36,57.16,0
0724FENC,7/1/2024,FENC,CT,1,37,33.64,0
0724FENC,7/1/2024,FENC,CT,1,38,35.45,0
0724FENC,7/1/2024,FENC,CT,1,39,39.25,0
0724FENC,7/1/2024,FENC,CT,1,40,42.03,0
0724FENC,7/1/2024,FENC,CT,1,41,46.02,0
0724FENC,7/1/2024,FENC,CT,1,42,41.44,0
0724FENC,7/1/2024,FENC,CT,1,43,37.84,0
0724FENC,7/1/2024,FENC,CT,1,44,20.45,0
0724FENC,7/1/2024,FENC,CT,1,45,49.82,0
0724FENC,7/1/2024,FENC,CT,1,46,56.83,0
0724FENC,7/1/2024,FENC,CT,1,47,39.38,0
0724FENC,7/1/2024,FENC,CT,1,48,33.09,0
0724FENC,7/1/2024,FENC,CT,1,49,52.8,0
