Field ID,Date,Site,State,Bag_number,Individual,Shell_length,Survival,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,1,58.29,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,2,42.85,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,3,32.45,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,4,69.14,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,5,65.85,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,6,37.62,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,7,47.49,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,8,48.29,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,9,51.75,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,10,44.32,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,11,51.58,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,12,53.95,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,13,49.68,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,14,45.94,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,15,41.9,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,16,44.98,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,17,44.44,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,18,51.97,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,19,47.88,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,20,54.56,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,21,45.95,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,22,59.2,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,23,43.34,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,24,52.74,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,25,51.62,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,26,41.38,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,27,47.86,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,28,45.87,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,29,36.82,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,30,37.88,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,31,52.91,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,32,36.75,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,33,37.41,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,34,59.5,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,35,43.31,1,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,36,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,37,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,38,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,39,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,40,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,41,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,42,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,43,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,44,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,45,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,46,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,47,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,48,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,49,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,50,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,51,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,52,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,53,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,54,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,55,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,56,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,57,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,58,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,59,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,60,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,61,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,62,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,63,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,64,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,65,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,66,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,67,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,68,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,69,,0,,,,,,,,,,,,,,,,,,
0824ASHC,8/26/2024,ASHC,CT,1,70,,0,,,,,,,,,,,,,,,,,,
