Date,Bag_Number,Shell_Height,Site
6/10/2024,1,43.84,ASH
6/10/2024,1,37.75,ASH
6/10/2024,1,27.55,ASH
6/10/2024,1,38.54,ASH
6/10/2024,1,45.23,ASH
6/10/2024,1,36.52,ASH
6/10/2024,1,33.17,ASH
6/10/2024,1,31.6,ASH
6/10/2024,1,39.37,ASH
6/10/2024,1,51.64,ASH
6/10/2024,1,48.44,ASH
6/10/2024,1,46.3,ASH
6/10/2024,1,31.97,ASH
6/10/2024,1,33.88,ASH
6/10/2024,1,38.11,ASH
6/10/2024,1,30.27,ASH
6/10/2024,1,31.97,ASH
6/10/2024,1,44.34,ASH
6/10/2024,1,43.64,ASH
6/10/2024,1,36.37,ASH
6/10/2024,1,37.35,ASH
6/10/2024,1,31.47,ASH
6/10/2024,1,30.22,ASH
6/10/2024,1,23.95,ASH
6/10/2024,1,21.36,ASH
6/10/2024,1,30.63,ASH
6/10/2024,1,35.74,ASH
6/10/2024,1,36.3,ASH
6/10/2024,1,30.51,ASH
6/10/2024,1,37.18,ASH
6/10/2024,1,38.21,ASH
6/10/2024,1,49.73,ASH
6/10/2024,1,31.69,ASH
6/10/2024,1,52.57,ASH
6/10/2024,1,35.25,ASH
6/10/2024,1,28.1,ASH
6/10/2024,1,35.84,ASH
6/10/2024,1,37.89,ASH
6/10/2024,1,29.79,ASH
6/10/2024,1,23.56,ASH
6/10/2024,1,38.02,ASH
6/10/2024,1,37.33,ASH
6/10/2024,1,26.01,ASH
6/10/2024,1,39.75,ASH
6/10/2024,1,31.42,ASH
6/10/2024,1,29.04,ASH
6/10/2024,1,31.53,ASH
6/10/2024,1,20.93,ASH
6/10/2024,1,32.77,ASH
6/10/2024,1,35.36,ASH
6/10/2024,1,36.68,ASH
6/10/2024,1,27.62,ASH
6/10/2024,1,29.33,ASH
6/10/2024,1,32.04,ASH
6/10/2024,1,44.71,ASH
6/10/2024,1,37.94,ASH
6/10/2024,1,23.17,ASH
6/10/2024,1,31.97,ASH
6/10/2024,1,41.33,ASH
6/10/2024,1,27.54,ASH
6/10/2024,1,22.73,ASH
6/10/2024,1,34.79,ASH
6/10/2024,1,41.24,ASH
6/10/2024,1,34.86,ASH
6/10/2024,1,47.86,ASH
6/10/2024,1,45.1,ASH
6/10/2024,1,31.97,ASH
6/10/2024,1,25.98,ASH
6/10/2024,1,38.68,ASH
6/10/2024,1,14.3,ASH
6/10/2024,1,29.23,ASH
6/10/2024,1,37.89,ASH
6/10/2024,1,28.8,ASH
6/10/2024,1,39.18,ASH
6/10/2024,1,40.43,ASH
6/10/2024,1,32.16,ASH
6/10/2024,1,52.11,ASH
6/10/2024,1,44.25,ASH
6/10/2024,1,31.27,ASH
6/10/2024,1,36.18,ASH
6/10/2024,1,39.73,ASH
6/10/2024,1,42.82,ASH
6/10/2024,1,21.84,ASH
6/10/2024,1,29.42,ASH
6/10/2024,1,33.71,ASH
6/10/2024,1,47.03,ASH
6/10/2024,1,35.34,ASH
6/10/2024,1,37.03,ASH
6/10/2024,1,51.59,ASH
6/10/2024,1,24.54,ASH
