Date,Bag_Number,Shell_Height,Site
6/10/2024,1,14.78,FENC
6/10/2024,1,11.09,FENC
6/10/2024,1,7.11,FENC
6/10/2024,1,7.6,FENC
6/10/2024,1,8.6,FENC
6/10/2024,1,9.53,FENC
6/10/2024,1,23.53,FENC
6/10/2024,1,10.27,FENC
6/10/2024,1,18.1,FENC
6/10/2024,1,7.58,FENC
6/10/2024,1,16.54,FENC
6/10/2024,1,9.23,FENC
6/10/2024,1,20.54,FENC
6/10/2024,1,19.46,FENC
6/10/2024,1,13.78,FENC
6/10/2024,1,17.21,FENC
6/10/2024,1,21.28,FENC
6/10/2024,1,16.24,FENC
6/10/2024,1,23.49,FENC
6/10/2024,1,16.84,FENC
6/10/2024,1,16.75,FENC
6/10/2024,1,22.73,FENC
6/10/2024,1,21.19,FENC
6/10/2024,1,15.65,FENC
6/10/2024,1,10.44,FENC
6/10/2024,1,17.41,FENC
6/10/2024,1,15.73,FENC
6/10/2024,1,20.49,FENC
6/10/2024,1,28.37,FENC
6/10/2024,1,15.79,FENC
6/10/2024,1,9.17,FENC
6/10/2024,1,18.99,FENC
6/10/2024,1,13.79,FENC
6/10/2024,1,15.95,FENC
6/10/2024,1,20.67,FENC
6/10/2024,1,27.38,FENC
6/10/2024,1,16.16,FENC
6/10/2024,1,13.39,FENC
6/10/2024,1,14.5,FENC
6/10/2024,1,19.7,FENC
6/10/2024,1,30.09,FENC
6/10/2024,1,9.96,FENC
6/10/2024,1,17.52,FENC
6/10/2024,1,12.2,FENC
6/10/2024,1,27.45,FENC
6/10/2024,1,7.91,FENC
6/10/2024,1,16.89,FENC
6/10/2024,1,23.53,FENC
6/10/2024,1,12.13,FENC
6/10/2024,1,15.19,FENC
6/10/2024,2,11.68,FENC
6/10/2024,2,26.28,FENC
6/10/2024,2,12.33,FENC
6/10/2024,2,16.75,FENC
6/10/2024,2,12.98,FENC
6/10/2024,2,26.34,FENC
6/10/2024,2,11.64,FENC
6/10/2024,2,16.74,FENC
6/10/2024,2,24.68,FENC
6/10/2024,2,27.7,FENC
6/10/2024,2,22.25,FENC
6/10/2024,2,18.71,FENC
6/10/2024,2,20.97,FENC
6/10/2024,2,19.56,FENC
6/10/2024,2,12.56,FENC
6/10/2024,2,22.31,FENC
6/10/2024,2,12.59,FENC
6/10/2024,2,25.29,FENC
6/10/2024,2,17.1,FENC
6/10/2024,2,18.77,FENC
6/10/2024,2,19.87,FENC
6/10/2024,2,22.6,FENC
6/10/2024,2,20.21,FENC
6/10/2024,2,11.31,FENC
6/10/2024,2,18.62,FENC
6/10/2024,2,26.86,FENC
6/10/2024,2,27.12,FENC
6/10/2024,2,15.01,FENC
6/10/2024,2,11.76,FENC
6/10/2024,2,10.9,FENC
6/10/2024,2,12.24,FENC
6/10/2024,2,21.58,FENC
6/10/2024,2,22.99,FENC
6/10/2024,2,20.12,FENC
6/10/2024,2,21.2,FENC
6/10/2024,2,21.54,FENC
6/10/2024,2,11.9,FENC
6/10/2024,2,10.94,FENC
6/10/2024,2,17.78,FENC
6/10/2024,2,17.29,FENC
6/10/2024,2,6.79,FENC
6/10/2024,2,10.21,FENC
6/10/2024,2,20.54,FENC
6/10/2024,2,15.42,FENC
6/10/2024,2,10.96,FENC
6/10/2024,2,16.23,FENC
6/10/2024,2,12.99,FENC
6/10/2024,2,19.21,FENC
6/10/2024,2,20.92,FENC
6/10/2024,2,32.73,FENC
6/10/2024,3,11.51,FENC
6/10/2024,3,25.97,FENC
6/10/2024,3,15.04,FENC
6/10/2024,3,18.5,FENC
6/10/2024,3,7.8,FENC
6/10/2024,3,21.69,FENC
6/10/2024,3,23.15,FENC
6/10/2024,3,18.37,FENC
6/10/2024,3,13.25,FENC
6/10/2024,3,17.39,FENC
6/10/2024,3,18.68,FENC
6/10/2024,3,20.63,FENC
6/10/2024,3,20.63,FENC
6/10/2024,3,12.89,FENC
6/10/2024,3,23.65,FENC
6/10/2024,3,23.74,FENC
6/10/2024,3,17.9,FENC
6/10/2024,3,14.62,FENC
6/10/2024,3,14.77,FENC
6/10/2024,3,14.78,FENC
6/10/2024,3,34.92,FENC
6/10/2024,3,20.43,FENC
6/10/2024,3,14.42,FENC
6/10/2024,3,12.3,FENC
6/10/2024,3,13.15,FENC
6/10/2024,3,22.85,FENC
6/10/2024,3,21.26,FENC
6/10/2024,3,15.1,FENC
6/10/2024,3,12.99,FENC
6/10/2024,3,10.28,FENC
6/10/2024,3,11.49,FENC
6/10/2024,3,18.38,FENC
6/10/2024,3,12.1,FENC
6/10/2024,3,18.29,FENC
6/10/2024,3,25.93,FENC
6/10/2024,3,15.8,FENC
6/10/2024,3,12.65,FENC
6/10/2024,3,10.88,FENC
6/10/2024,3,11.52,FENC
6/10/2024,3,18.95,FENC
6/10/2024,3,20.34,FENC
6/10/2024,3,15.93,FENC
6/10/2024,3,24.78,FENC
6/10/2024,3,22.83,FENC
6/10/2024,3,17.17,FENC
6/10/2024,3,19.96,FENC
6/10/2024,3,22.67,FENC
6/10/2024,3,20.78,FENC
6/10/2024,3,16.94,FENC
6/10/2024,3,22.31,FENC
7/1/2024,1,53.42,FENC
7/1/2024,1,39.61,FENC
7/1/2024,1,42.4,FENC
7/1/2024,1,43.55,FENC
7/1/2024,1,39.17,FENC
7/1/2024,1,42.22,FENC
7/1/2024,1,38.77,FENC
7/1/2024,1,50.06,FENC
7/1/2024,1,38.81,FENC
7/1/2024,1,32.29,FENC
7/1/2024,1,24.6,FENC
7/1/2024,1,36.37,FENC
7/1/2024,1,45.35,FENC
7/1/2024,1,34.18,FENC
7/1/2024,1,48.94,FENC
7/1/2024,1,48.51,FENC
7/1/2024,1,51.96,FENC
7/1/2024,1,34.39,FENC
7/1/2024,1,39.61,FENC
7/1/2024,1,39.11,FENC
7/1/2024,1,33.75,FENC
7/1/2024,1,20.31,FENC
7/1/2024,1,32.06,FENC
7/1/2024,1,35.68,FENC
7/1/2024,1,36.29,FENC
7/1/2024,1,34.12,FENC
7/1/2024,1,33.45,FENC
7/1/2024,1,38.93,FENC
7/1/2024,1,45.84,FENC
7/1/2024,1,36.71,FENC
7/1/2024,1,38.55,FENC
7/1/2024,1,37.92,FENC
7/1/2024,1,32.57,FENC
7/1/2024,1,29.44,FENC
7/1/2024,1,43.39,FENC
7/1/2024,1,57.16,FENC
7/1/2024,1,33.64,FENC
7/1/2024,1,35.45,FENC
7/1/2024,1,39.25,FENC
7/1/2024,1,42.03,FENC
7/1/2024,1,46.02,FENC
7/1/2024,1,41.44,FENC
7/1/2024,1,37.84,FENC
