Month,Date,Live_Count,Bag_Number,Site,Survival ,Growth_rate,GR_mergedT0
June,6/10/2024,91,1,FENC,,,
June,6/10/2024,88,2,FENC,,,
June,6/10/2024,96,3,FENC,,,
July,7/10/2024,83,1,FENC,0.91,32.90211565,14.07878746
July,7/10/2024,79,2,FENC,0.9,31.18710714,14.7966361
July,7/10/2024,87,3,FENC,0.91,30.58971429,13.83610039
June,6/10/2024,98,1,ASH,,,
June,6/10/2024,100,2,ASH,,,
June,6/10/2024,93,3,ASH,,,
July,7/10/2024,57,1,ASH,0.58,6.937605364,12.58509786
July,7/10/2024,41,2,ASH,0.41,7.192102782,15.33717503
July,7/10/2024,33,3,ASH,0.35,4.325506884,8.975564388
