lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
SizeASHC_01,8/23/2023,ASHC,1,8/28/2023,Mariah Kachmar,1,,,,,,1
SizeASHC_02,8/23/2023,ASHC,2,8/28/2023,Mariah Kachmar,1,,,,,,1
SizeASHC_03,8/23/2023,ASHC,3,8/28/2023,Isaiah Mayo,0,TRUE,8/28/2023,Mariah Kachmar,0,,0
SizeASHC_04,8/23/2023,ASHC,4,8/28/2023,Isaiah Mayo,0,TRUE,8/28/2023,Mariah Kachmar,0,,0
SizeASHC_05,8/23/2023,ASHC,5,8/28/2023,Katie McFarland,0,TRUE,8/28/2023,Isaiah Mayo,0,,0
SizeASHC_06,8/23/2023,ASHC,6,8/28/2023,Katie McFarland,0.5,TRUE,8/28/2023,Isaiah Mayo,0.5,,0.5
SizeASHC_07,8/23/2023,ASHC,7,8/28/2023,Isaiah Mayo,1,TRUE,8/28/2023,Mariah Kachmar,1,,1
SizeASHC_08,8/23/2023,ASHC,8,8/28/2023,Isaiah Mayo,0,TRUE,8/28/2023,Mariah Kachmar,0,,0
SizeASHC_09,8/23/2023,ASHC,9,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_10,8/23/2023,ASHC,10,8/28/2023,Katie McFarland,1,,,,,,1
SizeASHC_11,8/23/2023,ASHC,11,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_12,8/23/2023,ASHC,12,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_13,8/23/2023,ASHC,13,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_14,8/23/2023,ASHC,14,8/28/2023,Katie McFarland,0,,,,,,0
SizeASHC_15,8/23/2023,ASHC,15,8/28/2023,Mariah Kachmar,1,,,,,,1
SizeASHC_16,8/23/2023,ASHC,16,8/28/2023,Mariah Kachmar,0,,,,,,0
SizeASHC_17,8/23/2023,ASHC,17,8/28/2023,Isaiah Mayo,1,,,,,,1
SizeASHC_18,8/23/2023,ASHC,18,8/28/2023,,,,,,,no sample,
SizeASHC_19,8/23/2023,ASHC,19,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_20,8/23/2023,ASHC,20,8/28/2023,Katie McFarland,1,,,,,,1
SizeASHC_21,8/23/2023,ASHC,21,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_22,8/23/2023,ASHC,22,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_23,8/23/2023,ASHC,23,8/28/2023,Isaiah Mayo,2,,,,,,2
SizeASHC_24,8/23/2023,ASHC,24,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_25,8/23/2023,ASHC,25,8/28/2023,Isaiah Mayo,2,,,,,,2
SizeASHC_26,8/23/2023,ASHC,26,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_27,8/23/2023,ASHC,27,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_28,8/23/2023,ASHC,28,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_29,8/23/2023,ASHC,29,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_30,8/23/2023,ASHC,30,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_31,8/23/2023,ASHC,31,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_32,8/23/2023,ASHC,32,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_33,8/23/2023,ASHC,33,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_34,8/23/2023,ASHC,34,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_35,8/23/2023,ASHC,35,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_36,8/23/2023,ASHC,36,8/28/2023,Katie McFarland,0.5,,,,,,0.5
SizeASHC_37,8/23/2023,ASHC,37,8/28/2023,Isaiah Mayo,0,,,,,,0
SizeASHC_38,8/23/2023,ASHC,38,8/28/2023,Isaiah Mayo,0.5,,,,,,0.5
SizeASHC_39,8/23/2023,ASHC,39,8/28/2023,Katie McFarland,0,,,,,,0
SizeASHC_40,8/23/2023,ASHC,40,8/28/2023,Katie McFarland,0,,,,,,0
SizeASHC_41,8/23/2023,ASHC,41,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_42,8/23/2023,ASHC,42,8/28/2023,Mariah Kachmar,0.5,,,,,,0.5
SizeASHC_43,8/23/2023,ASHC,43,8/28/2023,Isaiah Mayo,0.5,,,,,,0.5
SizeASHC_44,8/23/2023,ASHC,44,8/28/2023,Isaiah Mayo,1,,,,,,1
SizeASHC_45,8/23/2023,ASHC,45,8/28/2023,Katie McFarland,0,,,,,,0
SizeASHC_46,8/23/2023,ASHC,46,8/28/2023,Katie McFarland,0.5,,,,,,0.5
