"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Marginal",339.999999995052,"2023-08-11 03:36:00","2023-08-11 09:16:00",53.64425,53.64489,7.42673885714286
"Marginal",180.000000001115,"2023-08-13 03:56:00","2023-08-13 06:56:00",53.64976,53.65011,7.45620052631579
"Sub-Optimal",59.9999999953923,"2023-07-17 22:56:00","2023-07-17 23:56:00",53.57796,53.57807,7.79704614285714
"Sub-Optimal",100.000000002279,"2023-07-18 04:26:00","2023-07-18 06:06:00",53.57859,53.57878,7.772507
"Sub-Optimal",130.000000001843,"2023-07-18 09:26:00","2023-07-18 11:36:00",53.57916,53.57941,7.78474371428571
"Sub-Optimal",119.999999998254,"2023-07-18 21:16:00","2023-07-18 23:16:00",53.58051,53.58074,7.757426
"Sub-Optimal",130.000000001843,"2023-07-19 23:16:00","2023-07-20 01:26:00",53.58348,53.58373,7.72896628571429
"Sub-Optimal",789.999999995973,"2023-07-21 13:06:00","2023-07-22 02:16:00",53.5878,53.5893,7.7473335625
"Sub-Optimal",269.999999999806,"2023-07-22 17:26:00","2023-07-22 21:56:00",53.59103,53.59154,7.74751467857143
"Sub-Optimal",290.000000003249,"2023-07-23 17:56:00","2023-07-23 22:46:00",53.59383,53.59438,7.7212672
"Sub-Optimal",140.000000001697,"2023-07-24 00:06:00","2023-07-24 02:26:00",53.59453,53.5948,7.74989953333333
"Sub-Optimal",459.999999997041,"2023-07-25 19:16:00","2023-07-26 02:56:00",53.59946,53.60033,7.74024610638298
"Sub-Optimal",60.0000000028615,"2023-07-26 18:46:00","2023-07-26 19:46:00",53.60214,53.60226,7.76652185714286
"Sub-Optimal",69.9999999989814,"2023-07-27 00:16:00","2023-07-27 01:26:00",53.60277,53.6029,7.79536025
"Sub-Optimal",160.000000005141,"2023-07-27 02:56:00","2023-07-27 05:36:00",53.60307,53.60338,7.73611270588235
"Sub-Optimal",180.000000001115,"2023-07-28 08:36:00","2023-07-28 11:36:00",53.60646,53.6068,7.70584836842105
"Sub-Optimal",299.999999999369,"2023-07-31 07:46:00","2023-07-31 12:46:00",53.61459,53.61516,7.78206683870968
"Sub-Optimal",360.000000002231,"2023-07-31 21:36:00","2023-08-01 03:36:00",53.61616,53.61685,7.64829708108108
"Sub-Optimal",89.9999999986903,"2023-08-01 12:46:00","2023-08-01 14:16:00",53.6179,53.61807,7.6632613
"Sub-Optimal",120.000000005723,"2023-08-01 23:56:00","2023-08-02 01:56:00",53.61917,53.6194,7.80420915384615
"Sub-Optimal",309.999999999224,"2023-08-02 03:16:00","2023-08-02 08:26:00",53.61955,53.62014,7.67247684375
"Sub-Optimal",249.999999996362,"2023-08-02 11:36:00","2023-08-02 15:46:00",53.6205,53.62098,7.71004673076923
"Sub-Optimal",3540.00000000077,"2023-08-02 21:36:00","2023-08-05 08:36:00",53.62164,53.62838,7.65591616056338
"Sub-Optimal",970.000000000823,"2023-08-05 17:26:00","2023-08-06 09:36:00",53.62939,53.63123,7.6977815
"Sub-Optimal",359.999999998496,"2023-08-06 15:36:00","2023-08-06 21:36:00",53.63192,53.6326,7.70180002702703
"Sub-Optimal",2359.99999999553,"2023-08-06 22:56:00","2023-08-08 14:16:00",53.63275,53.63725,7.6626481814346
"Sub-Optimal",219.999999996799,"2023-08-08 15:36:00","2023-08-08 19:16:00",53.6374,53.63782,7.69543691304348
"Sub-Optimal",390.000000005529,"2023-08-08 23:56:00","2023-08-09 06:26:00",53.63835,53.63909,7.739328175
"Sub-Optimal",79.9999999988358,"2023-08-09 07:46:00","2023-08-09 09:06:00",53.63924,53.63939,7.79555311111111
"Sub-Optimal",830.00000000286,"2023-08-09 21:06:00","2023-08-10 10:56:00",53.64076,53.64234,7.69042183333333
"Sub-Optimal",110.000000002134,"2023-08-10 12:56:00","2023-08-10 14:46:00",53.64257,53.64278,7.75723941666667
"Sub-Optimal",1219.99999999719,"2023-08-10 17:06:00","2023-08-11 13:26:00",53.64305,53.64537,7.58232016260163
"Sub-Optimal",779.999999996119,"2023-08-12 00:36:00","2023-08-12 13:36:00",53.64664,53.64813,7.67084891139241
"Sub-Optimal",1039.9999999998,"2023-08-12 19:26:00","2023-08-13 12:46:00",53.64879,53.65077,7.62299805714286
"Sub-Optimal",NA,"2023-08-14 01:16:00",NA,53.6522,NA,NA
