"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Moderately Severe",180.000000001115,"2023-09-11 14:22:00","2023-09-11 17:22:00",53.73041,53.73075,6.96124247368421
"Moderately Severe",89.9999999986903,"2023-09-12 04:32:00","2023-09-12 06:02:00",53.73202,53.7322,6.9691268
"Moderate",NA,NA,"2023-09-06 12:02:00",NA,53.71644,NA
"Moderate",220.000000000533,"2023-09-06 21:32:00","2023-09-07 01:12:00",53.71753,53.71795,7.07115004347826
"Moderate",169.999999997526,"2023-09-07 10:12:00","2023-09-07 13:02:00",53.71897,53.7193,7.08557777777778
"Moderate",230.000000000388,"2023-09-07 22:32:00","2023-09-08 02:22:00",53.72038,53.72082,7.05067904166667
"Moderate",200.000000004559,"2023-09-08 10:52:00","2023-09-08 14:12:00",53.72179,53.72217,7.06993361904762
"Moderate",220.000000000533,"2023-09-08 23:52:00","2023-09-09 03:32:00",53.72327,53.72369,7.06588491304348
"Moderate",219.999999996799,"2023-09-09 11:52:00","2023-09-09 15:32:00",53.72464,53.72506,7.08473856521739
"Moderate",150.000000001552,"2023-09-10 02:12:00","2023-09-10 04:42:00",53.72628,53.72656,7.10493925
"Moderate",199.99999999709,"2023-09-10 13:32:00","2023-09-10 16:52:00",53.72757,53.72795,7.10271709523809
"Moderate",220.000000000533,"2023-09-11 01:52:00","2023-09-11 05:32:00",53.72898,53.7294,7.06465230434783
"Moderate",250.000000003831,"2023-09-11 13:12:00","2023-09-11 17:22:00",53.73027,53.73075,6.99675069230769
"Moderate",230.000000000388,"2023-09-12 02:22:00","2023-09-12 06:12:00",53.73178,53.73221,7.03021945833333
"Moderate",210.000000000679,"2023-09-12 14:52:00","2023-09-12 18:22:00",53.7332,53.7336,7.11226936363636
"Moderate",200.000000000824,"2023-09-13 03:32:00","2023-09-13 06:52:00",53.73465,53.73503,7.09346752380952
"Moderate",199.99999999709,"2023-09-13 15:42:00","2023-09-13 19:02:00",53.73604,53.73642,7.11018104761905
"Moderate",259.999999999951,"2023-09-14 03:12:00","2023-09-14 07:32:00",53.73735,53.73785,7.06793222222222
"Moderate",70.000000002716,"2023-09-14 18:32:00","2023-09-14 19:42:00",53.7391,53.73924,7.171079
"Moderate",79.9999999988358,"2023-09-16 06:42:00","2023-09-16 08:02:00",53.74323,53.74338,7.17958611111111
"Moderate",180.000000001115,"2023-09-17 06:32:00","2023-09-17 09:32:00",53.74595,53.74629,7.16249278947368
"Moderate",70.000000002716,"2023-09-17 20:32:00","2023-09-17 21:42:00",53.74755,53.74768,7.184681875
"Moderate",129.999999998108,"2023-09-18 07:22:00","2023-09-18 09:32:00",53.74879,53.74903,7.14167014285714
"Moderate",200.000000000824,"2023-09-18 18:32:00","2023-09-18 21:52:00",53.75006,53.75044,7.08667471428571
"Moderate",239.999999996508,"2023-09-19 06:12:00","2023-09-19 10:12:00",53.75139,53.75185,7.09494836
"Moderate",159.999999997672,"2023-09-19 20:22:00","2023-09-19 23:02:00",53.75301,53.75331,7.12892776470588
