"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Moderate",69.9999999952468,"2023-06-29 06:00:00","2023-06-29 07:10:00",53.52671,53.52685,2.565668875
"Moderate",79.9999999988358,"2023-07-02 09:00:00","2023-07-02 10:20:00",53.53527,53.53543,2.50066644444444
"Moderate",129.999999998108,"2023-07-03 09:00:00","2023-07-03 11:10:00",53.53801,53.53826,2.43708207142857
"Marginal",90.0000000024249,"2023-06-29 05:50:00","2023-06-29 07:20:00",53.52669,53.52686,2.6757495
"Marginal",129.999999998108,"2023-07-02 08:10:00","2023-07-02 10:20:00",53.53518,53.53543,2.85657807142857
"Marginal",150.000000001552,"2023-07-03 08:40:00","2023-07-03 11:10:00",53.53798,53.53826,2.5361994375
"Sub-Optimal",90.0000000024249,"2023-06-28 05:00:00","2023-06-28 06:30:00",53.52386,53.52403,4.168135
"Sub-Optimal",140.000000001697,"2023-06-29 05:00:00","2023-06-29 07:20:00",53.5266,53.52686,3.1139014
"Sub-Optimal",129.999999998108,"2023-06-30 06:20:00","2023-06-30 08:30:00",53.52949,53.52974,3.75620514285714
"Sub-Optimal",149.999999994083,"2023-07-01 07:00:00","2023-07-01 09:30:00",53.53231,53.53259,3.585177625
"Sub-Optimal",209.999999996944,"2023-07-02 07:30:00","2023-07-02 11:00:00",53.5351,53.5355,3.39351640909091
"Sub-Optimal",199.99999999709,"2023-07-03 07:50:00","2023-07-03 11:10:00",53.53788,53.53826,2.91575019047619
"Sub-Optimal",160.000000005141,"2023-07-04 09:30:00","2023-07-04 12:10:00",53.54081,53.54111,4.33859082352941
"Sub-Optimal",190.00000000097,"2023-07-05 09:30:00","2023-07-05 12:40:00",53.54355,53.54391,4.3659224
"Sub-Optimal",130.000000005577,"2023-07-06 10:10:00","2023-07-06 12:20:00",53.54637,53.54661,3.87982935714286
"Sub-Optimal",119.999999998254,"2023-07-07 11:20:00","2023-07-07 13:20:00",53.54924,53.54947,4.10501676923077
"Sub-Optimal",99.9999999948102,"2023-07-08 01:00:00","2023-07-08 02:40:00",53.5508,53.55099,4.02581909090909
"Sub-Optimal",109.999999998399,"2023-07-08 12:10:00","2023-07-08 14:00:00",53.55207,53.55228,4.03913141666667
"Sub-Optimal",109.999999998399,"2023-07-09 01:50:00","2023-07-09 03:40:00",53.55363,53.55384,3.67937858333333
"Sub-Optimal",100.000000002279,"2023-07-09 12:40:00","2023-07-09 14:20:00",53.55487,53.55506,4.53482990909091
"Sub-Optimal",120.000000001988,"2023-07-10 02:40:00","2023-07-10 04:40:00",53.55647,53.5567,3.85442946153846
"Sub-Optimal",89.9999999986903,"2023-07-10 13:50:00","2023-07-10 15:20:00",53.55774,53.55791,4.5660369
