"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Sub-Optimal",70.000000002716,"2023-07-27 06:47:06","2023-07-27 07:57:06",53.60351,53.60365,4.696911125
"Sub-Optimal",139.999999997963,"2023-07-29 08:47:06","2023-07-29 11:07:06",53.60922,53.60949,4.84579093333333
"Sub-Optimal",89.9999999986903,"2023-07-31 11:47:06","2023-07-31 13:17:06",53.61504,53.61522,4.8731664
"Sub-Optimal",129.999999998108,"2023-08-01 01:37:06","2023-08-01 03:47:06",53.61662,53.61687,4.31243078571429
"Sub-Optimal",59.9999999991269,"2023-08-01 13:27:06","2023-08-01 14:27:06",53.61797,53.61809,4.709994
"Sub-Optimal",59.9999999991269,"2023-08-03 02:07:06","2023-08-03 03:07:06",53.62216,53.62227,4.93860314285714
"Sub-Optimal",59.9999999953923,"2023-08-03 14:07:06","2023-08-03 15:07:06",53.62353,53.62364,4.93006014285714
"Sub-Optimal",259.999999999951,"2023-08-04 02:27:06","2023-08-04 06:47:06",53.62494,53.62543,4.72227244444444
"Sub-Optimal",100.000000002279,"2023-08-04 15:57:06","2023-08-04 17:37:06",53.62648,53.62667,4.74477254545455
"Sub-Optimal",170.000000001261,"2023-08-05 03:17:06","2023-08-05 06:07:06",53.62777,53.6281,4.50948455555556
"Sub-Optimal",129.999999998108,"2023-08-05 07:37:06","2023-08-05 09:47:06",53.62827,53.62851,4.74708
"Sub-Optimal",139.999999997963,"2023-08-07 05:07:06","2023-08-07 07:27:06",53.63346,53.63373,4.73293773333333
"Sub-Optimal",69.9999999952468,"2023-08-07 19:17:06","2023-08-07 20:27:06",53.63508,53.63521,4.579351375
"Sub-Optimal",90.0000000024249,"2023-08-08 02:17:06","2023-08-08 03:47:06",53.63588,53.63605,4.7040779
"Sub-Optimal",250.000000003831,"2023-08-08 05:17:06","2023-08-08 09:27:06",53.63622,53.6367,4.28730676923077
"Sub-Optimal",170.000000004995,"2023-08-08 11:17:06","2023-08-08 14:07:06",53.6369,53.63723,4.41223211111111
