"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Moderately Severe",630.000000002036,"2023-08-03 01:56:00","2023-08-03 12:26:00",53.62214,53.62334,1.448578203125
"Moderately Severe",59.9999999953923,"2023-08-04 04:56:00","2023-08-04 05:56:00",53.62522,53.62533,1.73098257142857
"Moderately Severe",60.0000000028615,"2023-08-04 09:16:00","2023-08-04 10:16:00",53.62572,53.62583,2.23806171428571
"Moderately Severe",670.000000001454,"2023-08-11 02:16:00","2023-08-11 13:26:00",53.64409,53.64537,1.758131625
"Moderately Severe",89.9999999986903,"2023-08-13 03:06:00","2023-08-13 04:36:00",53.64967,53.64984,1.9178404
"Moderately Severe",190.00000000097,"2023-08-13 07:46:00","2023-08-13 10:56:00",53.6502,53.65056,1.67337125
"Moderately Severe",99.9999999948102,"2023-08-14 10:16:00","2023-08-14 11:56:00",53.65323,53.65342,2.05691845454545
"Moderate",79.9999999988358,"2023-07-24 00:56:00","2023-07-24 02:16:00",53.59463,53.59478,2.64913244444444
"Moderate",449.999999997186,"2023-07-25 23:36:00","2023-07-26 07:06:00",53.59995,53.60081,2.79352867391304
"Moderate",89.9999999986903,"2023-07-27 02:36:00","2023-07-27 04:06:00",53.60304,53.60321,3.5593907
"Moderate",329.999999995198,"2023-08-01 01:56:00","2023-08-01 07:26:00",53.61666,53.61729,2.69753726470588
"Moderate",359.999999998496,"2023-08-02 05:46:00","2023-08-02 11:46:00",53.61984,53.62052,2.53333743243243
"Moderate",929.999999997671,"2023-08-03 01:46:00","2023-08-03 17:16:00",53.62212,53.62389,1.86751811702128
"Moderate",90.0000000024249,"2023-08-03 19:26:00","2023-08-03 20:56:00",53.62414,53.62431,3.139697
"Moderate",810.000000003151,"2023-08-03 23:16:00","2023-08-04 12:46:00",53.62457,53.62611,2.51982109756098
"Moderate",180.000000001115,"2023-08-04 20:46:00","2023-08-04 23:46:00",53.62703,53.62737,2.92705663157895
"Moderate",160.000000001406,"2023-08-05 05:26:00","2023-08-05 08:06:00",53.62802,53.62832,2.93336288235294
"Moderate",129.999999998108,"2023-08-06 06:56:00","2023-08-06 09:06:00",53.63093,53.63118,2.2737665
"Moderate",69.9999999952468,"2023-08-08 09:16:00","2023-08-08 10:26:00",53.63667,53.63681,2.907237875
