"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Moderate",79.9999999988358,"2023-09-06 23:52:00","2023-09-07 01:12:00",53.71779,53.71795,2.52124066666667
"Moderate",99.9999999985448,"2023-09-08 00:42:00","2023-09-08 02:22:00",53.72063,53.72082,2.56459254545455
"Moderate",130.000000001843,"2023-09-09 01:22:00","2023-09-09 03:32:00",53.72344,53.72369,2.396993
"Moderate",99.9999999985448,"2023-09-10 03:02:00","2023-09-10 04:42:00",53.72637,53.72656,2.64114009090909
"Moderate",139.999999994228,"2023-09-11 03:12:00","2023-09-11 05:32:00",53.72913,53.7294,2.41668793333333
"Marginal",140.000000001697,"2023-09-06 22:52:00","2023-09-07 01:12:00",53.71768,53.71795,2.8072944
"Marginal",150.000000001552,"2023-09-07 23:52:00","2023-09-08 02:22:00",53.72053,53.72082,2.7910274375
"Marginal",109.999999998399,"2023-09-08 11:12:00","2023-09-08 13:02:00",53.72183,53.72204,3.32436766666667
"Marginal",190.00000000097,"2023-09-09 00:22:00","2023-09-09 03:32:00",53.72333,53.72369,2.62440835
"Marginal",130.000000001843,"2023-09-10 02:32:00","2023-09-10 04:42:00",53.72632,53.72656,2.79102921428571
"Marginal",100.000000002279,"2023-09-10 15:02:00","2023-09-10 16:42:00",53.72774,53.72793,3.351808
"Marginal",199.99999999709,"2023-09-11 02:12:00","2023-09-11 05:32:00",53.72902,53.7294,2.65318923809524
"Marginal",89.9999999986903,"2023-09-12 04:32:00","2023-09-12 06:02:00",53.73202,53.7322,3.2760446
"Marginal",70.000000002716,"2023-09-13 05:42:00","2023-09-13 06:52:00",53.7349,53.73503,3.13977
"Marginal",190.00000000097,"2023-09-14 04:12:00","2023-09-14 07:22:00",53.73747,53.73783,3.3059227
"Sub-Optimal",NA,NA,"2023-09-06 12:02:00",NA,53.71644,NA
"Sub-Optimal",249.999999996362,"2023-09-06 21:12:00","2023-09-07 01:22:00",53.71749,53.71796,3.33099184615385
"Sub-Optimal",239.999999996508,"2023-09-07 09:02:00","2023-09-07 13:02:00",53.71884,53.7193,3.91021192
"Sub-Optimal",249.999999996362,"2023-09-07 22:22:00","2023-09-08 02:32:00",53.72036,53.72084,3.27269784615385
"Sub-Optimal",259.999999999951,"2023-09-08 09:52:00","2023-09-08 14:12:00",53.72167,53.72217,3.75787307407407
"Sub-Optimal",290.000000003249,"2023-09-08 22:52:00","2023-09-09 03:42:00",53.72316,53.72371,3.1209212
"Sub-Optimal",279.99999999966,"2023-09-09 10:52:00","2023-09-09 15:32:00",53.72453,53.72506,4.09213693103448
"Sub-Optimal",220.000000004268,"2023-09-10 01:02:00","2023-09-10 04:42:00",53.72615,53.72656,3.31238613043478
"Sub-Optimal",289.99999999578,"2023-09-10 12:12:00","2023-09-10 17:02:00",53.72742,53.72797,3.7477781
"Sub-Optimal",279.999999995925,"2023-09-11 00:52:00","2023-09-11 05:32:00",53.72887,53.7294,3.05643955172414
"Sub-Optimal",280.000000003395,"2023-09-11 12:42:00","2023-09-11 17:22:00",53.73022,53.73075,4.15146393103448
"Sub-Optimal",250.000000003831,"2023-09-12 02:02:00","2023-09-12 06:12:00",53.73174,53.73221,3.72381646153846
"Sub-Optimal",119.999999998254,"2023-09-12 16:22:00","2023-09-12 18:22:00",53.73338,53.7336,4.70802792307692
"Sub-Optimal",240.000000000242,"2023-09-13 02:52:00","2023-09-13 06:52:00",53.73457,53.73503,3.7234662
"Sub-Optimal",199.99999999709,"2023-09-13 15:42:00","2023-09-13 19:02:00",53.73604,53.73642,4.14282295238095
"Sub-Optimal",309.999999999224,"2023-09-14 02:22:00","2023-09-14 07:32:00",53.73726,53.73785,3.6121979375
"Sub-Optimal",80.0000000025705,"2023-09-14 18:22:00","2023-09-14 19:42:00",53.73908,53.73924,4.63534022222222
"Sub-Optimal",160.000000005141,"2023-09-15 04:52:00","2023-09-15 07:32:00",53.74028,53.74059,4.70383029411765
"Sub-Optimal",159.999999997672,"2023-09-16 05:22:00","2023-09-16 08:02:00",53.74308,53.74338,4.43828735294118
"Sub-Optimal",259.999999999951,"2023-09-17 05:02:00","2023-09-17 09:22:00",53.74578,53.74627,4.10934840740741
"Sub-Optimal",129.999999998108,"2023-09-17 19:32:00","2023-09-17 21:42:00",53.74744,53.74768,4.34466257142857
"Sub-Optimal",209.999999996944,"2023-09-18 06:02:00","2023-09-18 09:32:00",53.74863,53.74903,4.49349990909091
"Sub-Optimal",220.000000000533,"2023-09-18 18:12:00","2023-09-18 21:52:00",53.75002,53.75044,3.97319356521739
"Sub-Optimal",279.999999995925,"2023-09-19 05:22:00","2023-09-19 10:02:00",53.7513,53.75183,4.21401375862069
"Sub-Optimal",159.999999997672,"2023-09-19 20:22:00","2023-09-19 23:02:00",53.75301,53.75331,4.23523641176471
"Sub-Optimal",250.000000003831,"2023-09-20 06:32:00","2023-09-20 10:42:00",53.75417,53.75465,4.49629607692308
"Sub-Optimal",129.999999998108,"2023-09-20 21:42:00","2023-09-20 23:52:00",53.7559,53.75615,4.27535128571429
"Sub-Optimal",70.0000000064506,"2023-09-21 23:42:00","2023-09-22 00:52:00",53.75887,53.759,4.53307
"Sub-Optimal",120.000000001988,"2023-09-25 01:12:00","2023-09-25 03:12:00",53.76726,53.76749,4.36620423076923
