"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Severe",160.000000005141,"2023-08-18 19:02:22","2023-08-18 21:42:22",53.66519,53.66549,0.7894665
"Moderately Severe",70.000000002716,"2023-08-18 08:32:22","2023-08-18 09:42:22",53.66399,53.66412,2.77872925
"Moderately Severe",280.000000003395,"2023-08-18 17:02:22","2023-08-18 21:42:22",53.66496,53.66549,1.37481518965517
"Moderately Severe",210.000000000679,"2023-08-19 06:22:22","2023-08-19 09:52:22",53.66648,53.66688,2.69888445454545
"Moderately Severe",139.999999997963,"2023-08-19 20:02:22","2023-08-19 22:22:22",53.66804,53.66831,3.5453444
"Moderate",179.999999997381,"2023-08-13 14:42:22","2023-08-13 17:42:22",53.65099,53.65134,7.38908936842105
"Moderate",110.000000002134,"2023-08-18 07:52:22","2023-08-18 09:42:22",53.66391,53.66412,4.31994583333333
"Moderate",320.000000002813,"2023-08-18 16:32:22","2023-08-18 21:52:22",53.6649,53.66551,2.14622940909091
"Moderate",289.999999999515,"2023-08-19 05:02:22","2023-08-19 09:52:22",53.66633,53.66688,3.7606321
"Moderate",250.000000000097,"2023-08-19 18:12:22","2023-08-19 22:22:22",53.66783,53.66831,4.94999126923077
"Moderate",239.999999996508,"2023-08-20 06:32:22","2023-08-20 10:32:22",53.66924,53.6697,7.03730484
"Moderate",200.000000004559,"2023-08-20 19:32:22","2023-08-20 22:52:22",53.67072,53.6711,6.84159714285714
"Moderate",200.000000004559,"2023-08-21 07:42:22","2023-08-21 11:02:22",53.67211,53.67249,7.97435714285714
"Marginal",119.999999998254,"2023-08-13 04:12:22","2023-08-13 06:12:22",53.6498,53.65002,10.7454731538462
"Marginal",250.000000003831,"2023-08-13 13:42:22","2023-08-13 17:52:22",53.65088,53.65136,8.69980492307692
"Marginal",150.000000001552,"2023-08-14 04:32:22","2023-08-14 07:02:22",53.65257,53.65286,13.5713725
"Marginal",100.000000002279,"2023-08-14 17:02:22","2023-08-14 18:42:22",53.654,53.65419,14.1084636363636
"Marginal",139.999999997963,"2023-08-15 05:02:22","2023-08-15 07:22:22",53.65537,53.65564,13.0242186666667
"Marginal",139.999999994228,"2023-08-15 17:12:22","2023-08-15 19:32:22",53.65676,53.65703,13.0122186666667
"Marginal",130.000000001843,"2023-08-16 05:42:22","2023-08-16 07:52:22",53.65819,53.65843,13.8244142857143
"Marginal",130.000000005577,"2023-08-18 07:32:22","2023-08-18 09:42:22",53.66387,53.66412,5.42337714285714
"Marginal",349.999999998641,"2023-08-18 16:02:22","2023-08-18 21:52:22",53.66484,53.66551,2.97465445833333
"Marginal",349.999999998641,"2023-08-19 04:12:22","2023-08-19 10:02:22",53.66623,53.6669,5.14406369444444
"Marginal",300.000000003104,"2023-08-19 17:22:22","2023-08-19 22:22:22",53.66774,53.66831,6.17877396774194
"Marginal",299.999999999369,"2023-08-20 05:32:22","2023-08-20 10:32:22",53.66913,53.6697,8.02260616129032
"Marginal",269.999999999806,"2023-08-20 18:32:22","2023-08-20 23:02:22",53.67061,53.67112,8.09515357142857
"Marginal",280.000000003395,"2023-08-21 06:22:22","2023-08-21 11:02:22",53.67196,53.67249,9.19612448275862
"Marginal",199.99999999709,"2023-08-21 20:12:22","2023-08-21 23:32:22",53.67354,53.67392,11.7760792380952
"Marginal",210.000000000679,"2023-08-22 07:52:22","2023-08-22 11:22:22",53.67487,53.67527,12.0621479545455
"Marginal",109.999999994665,"2023-08-24 11:02:22","2023-08-24 12:52:22",53.68071,53.68092,14.5999466666667
"Marginal",59.9999999953923,"2023-08-29 05:12:22","2023-08-29 06:12:22",53.69374,53.69386,14.1767514285714
"Sub-Optimal",NA,NA,"2023-08-09 13:52:22",NA,53.63994,NA
"Sub-Optimal",220.000000000533,"2023-08-13 02:32:22","2023-08-13 06:12:22",53.6496,53.65002,14.1385761304348
"Sub-Optimal",280.000000003395,"2023-08-13 13:12:22","2023-08-13 17:52:22",53.65082,53.65136,9.57314268965517
"Sub-Optimal",289.99999999578,"2023-08-14 02:12:22","2023-08-14 07:02:22",53.65231,53.65286,15.1358566666667
"Sub-Optimal",250.000000000097,"2023-08-14 14:42:22","2023-08-14 18:52:22",53.65373,53.65421,15.8982988461538
"Sub-Optimal",230.000000000388,"2023-08-15 03:32:22","2023-08-15 07:22:22",53.6552,53.65564,14.812385
"Sub-Optimal",239.999999996508,"2023-08-15 15:32:22","2023-08-15 19:32:22",53.65657,53.65703,14.6733752
"Sub-Optimal",259.999999999951,"2023-08-16 03:42:22","2023-08-16 08:02:22",53.65796,53.65845,15.309837037037
"Sub-Optimal",210.000000000679,"2023-08-16 16:22:22","2023-08-16 19:52:22",53.6594,53.6598,17.4616590909091
"Sub-Optimal",209.999999996944,"2023-08-17 05:02:22","2023-08-17 08:32:22",53.66085,53.66125,18.1982240909091
"Sub-Optimal",159.999999997672,"2023-08-17 17:42:22","2023-08-17 20:22:22",53.6623,53.6626,18.7729776470588
"Sub-Optimal",180.000000001115,"2023-08-18 06:52:22","2023-08-18 09:52:22",53.6638,53.66414,8.80103473684211
"Sub-Optimal",379.999999998205,"2023-08-18 15:32:22","2023-08-18 21:52:22",53.66479,53.66551,4.11158924358974
"Sub-Optimal",379.999999998205,"2023-08-19 03:42:22","2023-08-19 10:02:22",53.66618,53.6669,6.14641341025641
"Sub-Optimal",329.999999998932,"2023-08-19 16:52:22","2023-08-19 22:22:22",53.66768,53.66831,7.20597567647059
"Sub-Optimal",339.999999995052,"2023-08-20 05:02:22","2023-08-20 10:42:22",53.66907,53.66972,9.03853031428571
"Sub-Optimal",319.999999999078,"2023-08-20 17:42:22","2023-08-20 23:02:22",53.67051,53.67112,9.51594818181818
"Sub-Optimal",320.000000002813,"2023-08-21 05:42:22","2023-08-21 11:02:22",53.67188,53.67249,10.1644593939394
"Sub-Optimal",279.99999999966,"2023-08-21 18:52:22","2023-08-21 23:32:22",53.67339,53.67392,13.2794063448276
"Sub-Optimal",269.999999999806,"2023-08-22 06:52:22","2023-08-22 11:22:22",53.67476,53.67527,13.1341501785714
"Sub-Optimal",200.000000000824,"2023-08-22 21:02:22","2023-08-23 00:22:22",53.67637,53.67675,17.8209771428571
"Sub-Optimal",239.999999996508,"2023-08-23 08:02:22","2023-08-23 12:02:22",53.67763,53.67809,16.028112
"Sub-Optimal",180.000000001115,"2023-08-23 22:12:22","2023-08-24 01:12:22",53.67925,53.67959,17.8288342105263
"Sub-Optimal",230.000000000388,"2023-08-24 09:02:22","2023-08-24 12:52:22",53.68048,53.68092,15.6175829166667
"Sub-Optimal",210.000000000679,"2023-08-24 22:22:22","2023-08-25 01:52:22",53.68201,53.68241,16.6936272727273
"Sub-Optimal",160.000000001406,"2023-08-25 10:42:22","2023-08-25 13:22:22",53.68341,53.68372,15.8340176470588
"Sub-Optimal",220.000000000533,"2023-08-25 23:22:22","2023-08-26 03:02:22",53.68486,53.68528,18.2294686956522
"Sub-Optimal",200.000000000824,"2023-08-26 11:32:22","2023-08-26 14:52:22",53.68625,53.68663,16.1867871428571
"Sub-Optimal",140.000000001697,"2023-08-27 13:42:22","2023-08-27 16:02:22",53.68924,53.6895,17.6966266666667
"Sub-Optimal",109.999999998399,"2023-08-28 03:32:22","2023-08-28 05:22:22",53.69082,53.69102,18.7316583333333
"Sub-Optimal",199.99999999709,"2023-08-28 14:02:22","2023-08-28 17:22:22",53.69201,53.69239,16.825870952381
"Sub-Optimal",209.999999996944,"2023-08-29 02:42:22","2023-08-29 06:12:22",53.69346,53.69386,16.6016163636364
