"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Moderately Severe",135.00000000177,"2023-09-10 14:19:00","2023-09-10 16:34:00",53.72766,53.72792,2.218037
"Moderately Severe",119.999999998254,"2023-09-11 03:04:00","2023-09-11 05:04:00",53.72912,53.72935,3.16869566666667
"Moderately Severe",59.9999999953923,"2023-09-29 06:20:00","2023-09-29 07:20:00",53.77881,53.77892,3.3756942
"Moderately Severe",240.000000000242,"2023-09-29 16:20:00","2023-09-29 20:20:00",53.77995,53.7804,1.82107637647059
"Moderately Severe",165.000000001334,"2023-09-30 04:35:00","2023-09-30 07:20:00",53.78135,53.78166,3.75951925
"Moderate",165.000000005068,"2023-09-10 13:49:00","2023-09-10 16:34:00",53.7276,53.72792,3.13591458333333
"Moderate",164.999999997599,"2023-09-11 02:19:00","2023-09-11 05:04:00",53.72903,53.72935,4.15354541666667
"Moderate",149.999999997817,"2023-09-18 18:49:00","2023-09-18 21:19:00",53.75009,53.75038,6.17003963636364
"Moderate",104.999999998472,"2023-09-29 05:35:00","2023-09-29 07:20:00",53.77872,53.77892,4.748215
"Moderate",284.999999999587,"2023-09-29 15:35:00","2023-09-29 20:20:00",53.77986,53.7804,2.68204687
"Moderate",210.000000000679,"2023-09-30 03:50:00","2023-09-30 07:20:00",53.78126,53.78166,4.3888574
"Moderate",119.999999998254,"2023-09-30 18:05:00","2023-09-30 20:05:00",53.78289,53.78311,6.99752955555556
"Marginal",194.999999997162,"2023-09-10 13:34:00","2023-09-10 16:49:00",53.72758,53.72795,4.6522725
"Marginal",209.999999996944,"2023-09-11 01:34:00","2023-09-11 05:04:00",53.72895,53.72935,5.76413833333333
"Marginal",120.000000001988,"2023-09-11 14:34:00","2023-09-11 16:34:00",53.73043,53.73066,12.9641677777778
"Marginal",60.0000000028615,"2023-09-13 17:04:00","2023-09-13 18:04:00",53.73619,53.73631,11.80955
"Marginal",59.9999999991269,"2023-09-14 05:19:00","2023-09-14 06:19:00",53.73759,53.73771,13.584512
"Marginal",180.000000001115,"2023-09-18 18:19:00","2023-09-18 21:19:00",53.75004,53.75038,7.17604892307692
"Marginal",165.000000001334,"2023-09-19 06:19:00","2023-09-19 09:04:00",53.75141,53.75172,10.2927690833333
"Marginal",74.9999999989086,"2023-09-26 02:19:00","2023-09-26 03:34:00",53.77013,53.77027,13.457
"Marginal",135.00000000177,"2023-09-29 05:05:00","2023-09-29 07:20:00",53.77866,53.77892,6.229315
"Marginal",314.999999999151,"2023-09-29 15:05:00","2023-09-29 20:20:00",53.7798,53.7804,3.56414124545455
"Marginal",255.000000000024,"2023-09-30 03:05:00","2023-09-30 07:20:00",53.78117,53.78166,5.7299145
"Marginal",194.999999997162,"2023-09-30 16:50:00","2023-09-30 20:05:00",53.78274,53.78311,8.63728614285714
"Marginal",134.999999998035,"2023-10-01 05:35:00","2023-10-01 07:50:00",53.7842,53.78446,11.7082587
"Marginal",105.000000002207,"2023-10-01 18:50:00","2023-10-01 20:35:00",53.78571,53.78591,10.569310375
"Marginal",75.0000000026432,"2023-10-02 07:20:00","2023-10-02 08:35:00",53.78714,53.78728,12.3784215
"Marginal",75.0000000026432,"2023-10-02 20:05:00","2023-10-02 21:20:00",53.78859,53.78874,11.3202976666667
"Sub-Optimal",210.000000000679,"2023-09-10 13:19:00","2023-09-10 16:49:00",53.72755,53.72795,5.60976566666667
"Sub-Optimal",254.999999996289,"2023-09-11 00:49:00","2023-09-11 05:04:00",53.72886,53.72935,7.66398027777778
"Sub-Optimal",165.000000001334,"2023-09-11 13:49:00","2023-09-11 16:34:00",53.73034,53.73066,14.0296583333333
"Sub-Optimal",135.00000000177,"2023-09-12 02:49:00","2023-09-12 05:04:00",53.73183,53.73209,17.742848
"Sub-Optimal",75.0000000026432,"2023-09-12 16:04:00","2023-09-12 17:19:00",53.73334,53.73348,18.599495
"Sub-Optimal",149.999999997817,"2023-09-13 15:49:00","2023-09-13 18:19:00",53.73605,53.73634,15.1577809090909
"Sub-Optimal",164.999999997599,"2023-09-14 03:49:00","2023-09-14 06:34:00",53.73742,53.73774,15.46382
"Sub-Optimal",60.0000000028615,"2023-09-14 17:34:00","2023-09-14 18:34:00",53.73899,53.73911,18.670338
"Sub-Optimal",60.0000000028615,"2023-09-17 07:19:00","2023-09-17 08:19:00",53.74604,53.74615,18.615512
"Sub-Optimal",210.000000000679,"2023-09-18 17:49:00","2023-09-18 21:19:00",53.74998,53.75038,8.38222506666667
"Sub-Optimal",210.000000000679,"2023-09-19 05:34:00","2023-09-19 09:04:00",53.75132,53.75172,11.6453686
"Sub-Optimal",120.000000001988,"2023-09-19 19:49:00","2023-09-19 21:49:00",53.75295,53.75318,16.7341711111111
"Sub-Optimal",60.0000000028615,"2023-09-20 08:49:00","2023-09-20 09:49:00",53.75443,53.75455,18.190194
"Sub-Optimal",59.9999999953923,"2023-09-25 13:34:00","2023-09-25 14:34:00",53.76867,53.76879,18.92783
"Sub-Optimal",150.000000001552,"2023-09-26 01:04:00","2023-09-26 03:34:00",53.76998,53.77027,15.0211936363636
"Sub-Optimal",75.0000000026432,"2023-09-26 14:50:00","2023-09-26 16:05:00",53.77156,53.7717,16.9687916666667
"Sub-Optimal",150.000000001552,"2023-09-27 02:20:00","2023-09-27 04:50:00",53.77287,53.77315,16.1823972727273
"Sub-Optimal",74.999999995174,"2023-09-27 16:05:00","2023-09-27 17:20:00",53.77444,53.77458,17.1444833333333
"Sub-Optimal",59.9999999953923,"2023-09-28 04:50:00","2023-09-28 05:50:00",53.77589,53.77601,17.021862
"Sub-Optimal",60.0000000028615,"2023-09-28 17:20:00","2023-09-28 18:20:00",53.77732,53.77744,17.446474
"Sub-Optimal",164.999999997599,"2023-09-29 04:35:00","2023-09-29 07:20:00",53.77861,53.77892,8.02334083333333
"Sub-Optimal",359.999999998496,"2023-09-29 14:20:00","2023-09-29 20:20:00",53.77972,53.7804,5.314222696
"Sub-Optimal",330.000000002667,"2023-09-30 02:05:00","2023-09-30 07:35:00",53.78106,53.78169,8.06121091304348
"Sub-Optimal",239.999999996508,"2023-09-30 16:05:00","2023-09-30 20:05:00",53.78266,53.78311,10.1175427058824
"Sub-Optimal",194.999999997162,"2023-10-01 04:50:00","2023-10-01 08:05:00",53.78411,53.78448,13.4379655
"Sub-Optimal",194.999999997162,"2023-10-01 17:35:00","2023-10-01 20:50:00",53.78557,53.78594,13.0270830714286
"Sub-Optimal",180.000000001115,"2023-10-02 05:50:00","2023-10-02 08:50:00",53.78697,53.78731,15.1601406923077
"Sub-Optimal",165.000000005068,"2023-10-02 18:35:00","2023-10-02 21:20:00",53.78842,53.78874,14.1284605
"Sub-Optimal",NA,"2023-10-03 06:35:00",NA,53.78979,NA,NA
