"Location Properties"
"Location Name = GSB, NY"
"Location ID = 527b0ac0-7ed1-4ee1-8380-f7841f066137"
""
"Report Properties"
"Start Time = 2023-07-17 12:17:06"
"Duration = 28.00:10:00"
"Readings = 4034"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_2023-06-20_1005052_GSB"
"Log Type = Linear"
"Log File Number = 5"
"Log ID = ea37bc9e-b5db-421c-a91b-002824b79d50"
"Log Wrapping Enabled = True"
"Interval = 00:10:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (982936)","pH mV (mV) (982936)","ORP (mV) (982936)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2023-07-17 12:17:06","89.66356","83.98337","0.03893794","11152.8","0.9961114","0.05458919","7.634386","98.56596","134.5174","","7.659971","-38.8813","183.0037","28.54108","0.252","71","759.4498"
"2023-07-17 12:27:06","42318.27","40682.95","26.45353","23.63045","1.016266","26.44392","6.200539","90.4816","123.882","0.04562727","7.674243","-39.54649","344.6205","27.10454","0.315","71","759.4498"
"2023-07-17 12:37:06","72.07133","68.94968","0.03166221","13875.14","0.9964381","0.04481729","7.491304","94.73088","129.6251","0.002445403","7.426803","-24.82653","329.4547","27.37039","0.369","71","759.4498"
"2023-07-17 12:47:06","40323.84","40788.47","26.48562","24.79922","1.017097","26.51251","6.466783","90.10385","124.0347","0.2789924","7.829115","-48.3346","287.8292","24.4036","0.135","71","759.4498"
"2023-07-17 12:57:06","40363.11","40830.19","26.51568","24.7751","1.01712","26.53962","6.341545","88.37012","121.6487","0.3166569","7.813292","-47.4","309.8639","24.40107","0.063","71","759.4498"
"2023-07-17 13:07:06","40346.69","40830.05","26.51516","24.78518","1.017126","26.53953","6.129058","85.37756","117.5337","0.3527865","7.806362","-46.98753","312.9418","24.38019","0.054","71","759.4498"
"2023-07-17 13:17:06","40334","40857.38","26.53387","24.79298","1.017154","26.5573","5.835224","81.22079","111.822","0.0838292","7.797733","-46.47017","293.5584","24.32933","0.036","71","759.4498"
"2023-07-17 13:27:06","40322.04","40871.02","26.54306","24.80033","1.017171","26.56616","5.98081","83.20409","114.5594","0.1133981","7.792487","-46.15545","304.9095","24.29675","0.045","71","759.4498"
"2023-07-17 13:37:06","40320.61","40872.51","26.54406","24.80121","1.017172","26.56713","5.953763","82.82293","114.0354","0.05835246","7.788901","-45.94326","307.4677","24.29304","0.045","71","759.4498"
"2023-07-17 13:47:06","40346.86","40847.46","26.52729","24.78508","1.017141","26.55085","6.121388","85.24417","117.3549","0.4233512","7.81264","-47.3547","298.5747","24.35835","0.045","71","759.4498"
