Date Time,Actual Conductivity (µS/cm) (1026742),Specific Conductivity (µS/cm) (1026742),Salinity (PSU) (1026742),Resistivity (??cm) (1026742),Density (g/cm³) (1026742),Total Dissolved Solids (ppt) (1026742),RDO Concentration (mg/L) (1003422),RDO Saturation (%Sat) (1003422),Oxygen Partial Pressure (Torr) (1003422),Chlorophyll-a Fluorescence (RFU) (1005348),pH (pH) (982925),pH mV (mV) (982925),ORP (mV) (982925),Temperature (°C) (1005261),External Voltage (V) (1005261),Battery Capacity (%) (1005261),Barometric Pressure (mm Hg) (1005261)
6/26/2023 11:40:00,37815.69,39175.48,25.30007,26.44405,1.016547,25.46407,7.906981,107.7487,149.0861,0.00722093,7.016265,0.1096725,77.39568,23.1827,0.045,83,754.9084
6/26/2023 14:30:00,37816.62,39490.8,25.51687,26.4434,1.016821,25.66902,9.220045,124.896,172.9326,0.8611019,8.004822,-57.9381,-12.326,22.78041,0.018,83,754.9084
6/26/2023 14:40:00,38009.5,39736.52,25.69176,26.30921,1.016969,25.82874,9.147499,123.9142,171.5896,0.9299911,8.00119,-57.71399,-19.97446,22.72451,0.018,83,754.9084
6/26/2023 14:50:00,38057.14,39780.8,25.7237,26.27628,1.016991,25.85752,9.171276,124.2749,172.087,0.9675367,8.004742,-57.92379,-21.92234,22.73147,0.027,83,754.9084
6/26/2023 15:00:00,38088.39,39831.63,25.75963,26.25472,1.017024,25.89056,9.347083,126.6314,175.357,1.065033,8.020738,-58.85839,-18.1601,22.70863,0.018,83,754.9084
6/26/2023 15:10:00,38155.02,39919.61,25.82222,26.20887,1.017078,25.94775,9.536562,129.1919,178.9097,1.090869,8.053105,-60.75382,-11.49153,22.68567,0.018,83,754.9084
6/26/2023 15:20:00,38179.28,40003.03,25.88033,26.19222,1.017141,26.00197,9.44359,127.8086,177.016,1.176058,8.038693,-59.89313,-16.51263,22.61308,0.018,83,754.9084
6/26/2023 15:30:00,38257.8,40141.88,25.97832,26.13846,1.017235,26.09222,9.438508,127.6506,176.8182,1.365457,8.044259,-60.20546,-14.81747,22.54265,0.018,83,754.9084
6/26/2023 15:40:00,38324.85,40307.18,26.09412,26.09273,1.017354,26.19967,9.546398,128.9228,178.616,1.457867,8.064465,-61.36656,-16.34812,22.4251,0.018,83,754.9084
6/26/2023 15:50:00,38354.89,40399.14,26.1583,26.0723,1.017423,26.25944,9.570352,129.1209,178.9128,1.417748,8.07095,-61.73134,-14.9343,22.35072,0.018,83,754.9084
6/26/2023 16:00:00,38365.86,40468.67,26.20643,26.06484,1.017478,26.30463,9.594538,129.3172,179.2061,1.315506,8.078484,-62.15811,-16.79396,22.2795,0.018,83,754.9084
6/26/2023 16:10:00,38379.45,40515.39,26.23899,26.05561,1.017514,26.335,9.656753,130.0871,180.2849,1.402638,8.083181,-62.42514,-15.09881,22.23983,0.018,83,754.9084
6/26/2023 16:20:00,38428.12,40536.33,26.25503,26.02261,1.017516,26.34862,9.671676,130.3879,180.6906,1.480216,8.086383,-62.62064,-15.71154,22.27707,0.018,83,754.9084
