"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Moderately Severe",140.000000001697,"2023-07-29 01:40:00","2023-07-29 04:00:00",53.60841,53.60868,1.85084386666667
"Moderate",99.9999999948102,"2023-07-13 01:50:00","2023-07-13 03:30:00",53.56459,53.56478,2.43959863636364
"Moderate",79.9999999988358,"2023-07-14 03:10:00","2023-07-14 04:30:00",53.56748,53.56764,2.71961566666667
"Moderate",89.9999999986903,"2023-07-15 03:40:00","2023-07-15 05:10:00",53.57028,53.57045,2.7341897
"Moderate",100.000000002279,"2023-07-16 04:20:00","2023-07-16 06:00:00",53.5731,53.57329,2.424769
"Moderate",79.9999999988358,"2023-07-17 05:20:00","2023-07-17 06:40:00",53.57595,53.5761,2.64766988888889
"Moderate",109.999999994665,"2023-07-18 05:30:00","2023-07-18 07:20:00",53.57871,53.57892,2.397085
"Moderate",99.9999999985448,"2023-07-20 06:00:00","2023-07-20 07:40:00",53.58425,53.58444,2.62739681818182
"Moderate",99.9999999985448,"2023-07-27 00:10:00","2023-07-27 01:50:00",53.60276,53.60295,2.42647609090909
"Moderate",160.000000001406,"2023-07-28 00:30:00","2023-07-28 03:10:00",53.60554,53.60584,2.69896852941176
"Moderate",170.000000004995,"2023-07-29 01:10:00","2023-07-29 04:00:00",53.60835,53.60868,1.97824683333333
"Moderate",309.999999999224,"2023-07-30 01:30:00","2023-07-30 06:40:00",53.61113,53.61172,2.641721875
"Moderate",220.000000000533,"2023-07-31 02:30:00","2023-07-31 06:10:00",53.61398,53.6144,2.75172643478261
"Moderate",140.000000001697,"2023-08-01 04:40:00","2023-08-01 07:00:00",53.61697,53.61724,2.85906213333333
"Marginal",110.000000002134,"2023-07-14 02:50:00","2023-07-14 04:40:00",53.56745,53.56766,2.84940725
"Marginal",119.999999998254,"2023-07-15 03:20:00","2023-07-15 05:20:00",53.57024,53.57047,2.86025015384615
"Marginal",119.999999998254,"2023-07-16 04:00:00","2023-07-16 06:00:00",53.57306,53.57329,2.55712530769231
"Marginal",160.000000001406,"2023-07-17 04:10:00","2023-07-17 06:50:00",53.57582,53.57612,2.92239164705882
"Marginal",150.000000001552,"2023-07-18 05:00:00","2023-07-18 07:30:00",53.57865,53.57894,2.5913391875
"Marginal",109.999999994665,"2023-07-19 06:20:00","2023-07-19 08:10:00",53.58154,53.58175,3.2570655
"Marginal",219.999999996799,"2023-07-20 05:20:00","2023-07-20 09:00:00",53.58417,53.58459,3.02679991304348
"Marginal",129.999999998108,"2023-07-21 07:20:00","2023-07-21 09:30:00",53.58714,53.58739,3.20159928571429
"Marginal",70.000000002716,"2023-07-25 23:40:00","2023-07-26 00:50:00",53.59996,53.6001,3.225003875
"Marginal",130.000000001843,"2023-07-26 23:40:00","2023-07-27 01:50:00",53.6027,53.60295,2.61418835714286
"Marginal",239.999999996508,"2023-07-27 23:30:00","2023-07-28 03:30:00",53.60542,53.60588,2.88293748
"Marginal",129.999999998108,"2023-07-28 08:10:00","2023-07-28 10:20:00",53.60641,53.60666,3.46168271428571
"Marginal",220.000000000533,"2023-07-29 00:20:00","2023-07-29 04:00:00",53.60826,53.60868,2.25817934782609
"Marginal",709.999999997137,"2023-07-29 22:50:00","2023-07-30 10:40:00",53.61083,53.61218,3.03566684722222
"Marginal",240.000000000242,"2023-07-31 02:20:00","2023-07-31 06:20:00",53.61396,53.61442,2.80046392
"Marginal",170.000000001261,"2023-08-01 04:20:00","2023-08-01 07:10:00",53.61693,53.61726,2.91938566666667
"Marginal",130.000000001843,"2023-08-05 20:30:00","2023-08-05 22:40:00",53.62974,53.62998,3.22255292857143
"Marginal",59.9999999991269,"2023-08-06 22:30:00","2023-08-06 23:30:00",53.63271,53.63282,3.06892671428571
"Marginal",NA,"2023-08-07 08:20:00",NA,53.63383,NA,NA
"Sub-Optimal",170.000000001261,"2023-07-13 00:50:00","2023-07-13 03:40:00",53.56448,53.5648,3.04519488888889
"Sub-Optimal",239.999999996508,"2023-07-14 01:50:00","2023-07-14 05:50:00",53.56733,53.56779,3.66235344
"Sub-Optimal",260.000000003686,"2023-07-15 02:00:00","2023-07-15 06:20:00",53.57009,53.57059,3.61292062962963
"Sub-Optimal",229.999999996653,"2023-07-16 03:20:00","2023-07-16 07:10:00",53.57298,53.57342,3.377207875
"Sub-Optimal",329.999999998932,"2023-07-17 02:30:00","2023-07-17 08:00:00",53.57563,53.57626,3.536562
