"Location Properties"
"Location Name = Gold Star Beach, NY"
"Location ID = ec19e1b1-9de7-4230-9910-8f32e59cfdab"
""
"Report Properties"
"Start Time = 2024-09-16 10:50:10"
"Duration = 28.23:30:03"
"Readings = 1392"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_0624GOLD"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = b5c2cf2d-2d6c-4d2d-a0ff-11326b002e59"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (1111279)","pH mV (mV) (1111279)","ORP (mV) (1111279)","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2024-09-16 10:50:10","0.035305366","8.048487","-85.33955","30.74749","146.23064","157.8269","0.07483132","6838.512","0.9980187","0.10258749","8.980593","99.387695","140.0323","21.153162","0.054","99","772.7116"
"2024-09-16 11:20:11","0.29578966","7.648875","-62.294006","151.45406","36747.895","38566.082","24.84942","27.212444","1.0163847","25.067955","7.1143427","93.314285","131.18695","22.53169","0.018","99","772.6816"
"2024-09-16 11:50:11","0.15580472","7.660166","-62.971115","160.62363","36900.37","38672.617","24.927126","27.099998","1.0164248","25.137203","6.981527","91.72726","128.94106","22.600689","0.018","99","772.6816"
"2024-09-16 12:20:11","0.5940253","7.6626563","-63.123703","157.5671","36896.32","38645.027","24.908117","27.102974","1.0164022","25.119268","6.8627634","90.205986","126.796265","22.630861","0.018","99","772.6816"
"2024-09-16 12:50:11","0.57534647","7.6737127","-63.767433","156.00307","36883.066","38649.77","24.910944","27.112713","1.016411","25.12235","7.0453277","92.56709","130.12032","22.606775","0.018","99","772.6816"
"2024-09-16 13:20:11","1.5612029","7.6538596","-62.599182","159.46014","36512.64","38273.06","24.641666","27.387775","1.0162116","24.877487","7.714276","101.17096","142.21817","22.59182","0.018","99","772.6816"
"2024-09-16 13:50:11","1.308133","7.756724","-68.67409","155.2163","36388.4","38016.164","24.462217","27.481287","1.0160311","24.710506","8.650748","113.674545","159.75044","22.758232","0.018","99","772.6816"
"2024-09-16 14:20:11","1.7031028","7.7629776","-69.065094","150.37163","36691.133","38254.465","24.634438","27.254541","1.0161333","24.865402","8.074245","106.39994","149.50156","22.860386","0.018","99","772.6816"
"2024-09-16 14:50:11","2.1856759","7.8916454","-76.70879","143.51471","36695.297","38006.43","24.464642","27.25145","1.015914","24.70418","9.933456","131.55453","184.7414","23.193842","0.027","99","772.6816"
"2024-09-16 15:20:11","0.9799008","7.805764","-71.63525","148.11142","35570.5","36912.707","23.684223","28.113184","1.0153521","23.99326","9.919255","130.54819","183.35878","23.09625","0.027","99","772.6816"
"2024-09-16 15:50:11","1.1542966","7.8975234","-77.09026","142.22725","36281.867","37476.023","24.089497","27.561977","1.0155932","24.359415","9.970716","132.08742","185.44576","23.331701","0.027","99","772.6816"
"2024-09-16 16:20:11","1.025364","7.9177485","-78.3062","141.94115","36650.61","37783.15","24.310268","27.284676","1.0157323","24.559046","9.589514","127.42363","178.86732","23.430645","0.027","99","772.6816"
"2024-09-16 16:50:11","1.2027141","7.9277973","-78.89271","141.67412","36435.504","37574.945","24.161549","27.445757","1.0156252","24.423714","9.978542","132.43634","185.90968","23.412329","0.036","99","772.6816"
"2024-09-16 17:20:11","1.3016753","7.897043","-77.06642","140.34851","36667.996","37862.195","24.364975","27.271738","1.0157962","24.610428","9.440034","125.293816","175.90262","23.348658","0.027","99","772.6816"
"2024-09-16 17:50:11","1.5235567","7.909423","-77.786446","132.95753","36421.09","37630.723","24.199368","27.45662","1.01568","24.45997","9.435785","125.04732","175.56615","23.317022","0.045","99","772.6816"
"2024-09-16 18:20:11","2.5941238","7.8850465","-76.351166","131.56995","36443.152","37657.35","24.218235","27.439997","1.0156956","24.477278","9.758722","129.3292","181.57954","23.311867","0.027","99","772.6816"
"2024-09-16 18:50:11","2.7666354","7.9565744","-80.537796","131.94664","36659.566","37938.816","24.417269","27.27801","1.015867","24.660233","10.100059","133.82178","187.91212","23.23462","0.027","99","772.6816"
"2024-09-16 19:20:11","1.8010372","7.87021","-75.37842","132.86694","36934.137","38462.82","24.784483","27.075224","1.0162306","25.000834","8.864403","117.036865","164.43112","22.919138","0.027","99","772.6816"
"2024-09-16 19:50:11","2.5985544","7.8592134","-74.73469","125.32337","36954.465","38477.043","24.794838","27.06033","1.016236","25.010077","8.958219","118.30201","166.20605","22.928213","0.018","99","772.6816"
"2024-09-16 20:20:11","2.678271","7.814177","-72.06917","139.9575","36947.36","38531.56","24.831982","27.065535","1.0162859","25.045513","8.436935","111.280426","156.36256","22.847416","0.018","99","772.6816"
"2024-09-16 20:50:11","1.8219098","7.7898064","-70.61958","125.4998","37011.105","38656.91","24.919815","27.018917","1.016373","25.126991","8.163393","107.57959","151.1818","22.770962","0.018","99","772.6816"
"2024-09-16 21:20:11","1.0692376","7.759384","-68.82191","124.345856","37017.293","38701.016","24.950222","27.0144","1.0164093","25.15566","7.88893","103.88993","146.00859","22.722204","0.018","99","772.6816"
